date,Exchange Outflow (Mean)
2017-12-28,79.5
2017-12-29,0.0
2017-12-30,0.0
2017-12-31,0.0
2018-01-01,0.0
2018-01-02,0.0
2018-01-03,0.0
2018-01-04,0.0
2018-01-05,0.0
2018-01-06,0.0
2018-01-07,0.0
2018-01-08,0.0
2018-01-09,0.0
2018-01-10,0.0
2018-01-11,0.0
2018-01-12,0.0
2018-01-13,0.0
2018-01-14,0.0
2018-01-15,0.0
2018-01-16,0.0
2018-01-17,0.0
2018-01-18,0.0
2018-01-19,0.0
2018-01-20,0.0
2018-01-21,0.0
2018-01-22,296.527183
2018-01-23,250052.567
2018-01-24,163205.68285714
2018-01-25,294285.88571429
2018-01-26,575800.19629
2018-01-27,645119.80598257
2018-01-28,751435.6606785
2018-01-29,225048.5879
2018-01-30,913399.88792667
2018-01-31,50251.74
2018-02-01,54986.9248
2018-02-02,2003123.770467
2018-02-03,162727.162625
2018-02-04,77962.8835
2018-02-05,130002.0
2018-02-06,43425.28579
2018-02-07,119031.483075
2018-02-08,197086.7023
2018-02-09,4247.7646
2018-02-10,79274.2646
2018-02-11,16620.0
2018-02-12,87702.1764
2018-02-13,20064.43126667
2018-02-14,151141.0
2018-02-15,112465.25876
2018-02-16,39997.7646
2018-02-17,87703.54896667
2018-02-18,0.0
2018-02-19,0.0
2018-02-20,29997.7646
2018-02-21,175000.0
2018-02-22,0.0
2018-02-23,0.0
2018-02-24,0.0
2018-02-25,0.0
2018-02-26,65460.25486667
2018-02-27,178311.0
2018-02-28,10022.2246
2018-03-01,50065.1764
2018-03-02,325.2646
2018-03-03,2000.0
2018-03-04,18379.10031133
2018-03-05,0.0
2018-03-06,0.0
2018-03-07,168572.7646
2018-03-08,0.0
2018-03-09,65408.0646
2018-03-10,63367.7646
2018-03-11,0.0
2018-03-12,62159.7646
2018-03-13,622888.3045075
2018-03-14,72299.959684
2018-03-15,0.0
2018-03-16,19865.9705
2018-03-17,39993.17525
2018-03-18,654998.3505
2018-03-19,31173.837625
2018-03-20,86826.11683333
2018-03-21,18049.6942
2018-03-22,30065.567
2018-03-23,0.0
2018-03-24,20957.62025
2018-03-25,762499.155125
2018-03-26,253475.169625
2018-03-27,675221.668642
2018-03-28,13624.7203672
2018-03-29,19140.9629
2018-03-30,25049.9628
2018-03-31,0.0
2018-04-01,0.0
2018-04-02,99998.9628
2018-04-03,116893.6824
2018-04-04,0.0
2018-04-05,39140.9152
2018-04-06,0.0
2018-04-07,98.9628
2018-04-08,14722.961286
2018-04-09,12818.70613333
2018-04-10,400049.6364
2018-04-11,653782.1757
2018-04-12,420292.18477137
2018-04-13,460002.05
2018-04-14,285726.74647673
2018-04-15,324789.2866788
2018-04-16,119962.59497778
2018-04-17,4292.029292
2018-04-18,7999.33286667
2018-04-19,21815.8885
2018-04-20,37813.9162
2018-04-21,78728.89
2018-04-22,13448.90368474
2018-04-23,121260.10286022
2018-04-24,116329.00248137
2018-04-25,42961.47900899
2018-04-26,20274.10805371
2018-04-27,15397.67874719
2018-04-28,7923.14339627
2018-04-29,20377.90634706
2018-04-30,24585.40967373
2018-05-01,23909.31405069
2018-05-02,14183.91149362
2018-05-03,61444.30921173
2018-05-04,26700.20240391
2018-05-05,22724.96651631
2018-05-06,17190.62597447
2018-05-07,33282.3671614
2018-05-08,71087.86433635
2018-05-09,28491.568252
2018-05-10,42544.35809188
2018-05-11,147795.73150653
2018-05-12,25426.22806344
2018-05-13,13188.5812435
2018-05-14,17432.47852273
2018-05-15,10266.26418846
2018-05-16,15396.0002225
2018-05-17,24544.64044723
2018-05-18,19901.35468647
2018-05-19,2678.42152864
2018-05-20,15807.77438275
2018-05-21,13300.84996084
2018-05-22,15171.32758884
2018-05-23,32650.3034
2018-05-24,51502.68466852
2018-05-25,32840.38088421
2018-05-26,6867.36588583
2018-05-27,41651.04518095
2018-05-28,32597.68397
2018-05-29,36048.03816667
2018-05-30,3171.86674286
2018-05-31,4452.345641
2018-06-01,30927.32920596
2018-06-02,9809.82473569
2018-06-03,5505.11547785
2018-06-04,5965.12722097
2018-06-05,16816.3995188
2018-06-06,3908.17024062
2018-06-07,15573.59865087
2018-06-08,9286.00808587
2018-06-09,3676.70511391
2018-06-10,9591.28975292
2018-06-11,9629.30345368
2018-06-12,1668504.41744167
2018-06-13,9485.83788
2018-06-14,2664.80057444
2018-06-15,6654.85768667
2018-06-16,1740.85522308
2018-06-17,1780.14513333
2018-06-18,5024.10389379
2018-06-19,2002.50655756
2018-06-20,6576.77606
2018-06-21,69834.05207352
2018-06-22,71040.56272212
2018-06-23,8349.26515714
2018-06-24,11330.76941242
2018-06-25,10678.29181281
2018-06-26,9691.49830622
2018-06-27,19761.12192663
2018-06-28,14050.97067947
2018-06-29,38131.27610775
2018-06-30,16963.99478111
2018-07-01,8585.47293582
2018-07-02,15187.08804523
2018-07-03,66214.68704389
2018-07-04,16778.13156722
2018-07-05,28524.99974067
2018-07-06,59873.12633947
2018-07-07,3323.1008276
2018-07-08,38044.65885455
2018-07-09,15805.50138658
2018-07-10,6382.498
2018-07-11,31778.21288608
2018-07-12,10354.25459686
2018-07-13,12053.81795487
2018-07-14,20495.92534
2018-07-15,19308.42857143
2018-07-16,26583.19456964
2018-07-17,15792.17145869
2018-07-18,111079.84538947
2018-07-19,51748.01745952
2018-07-20,65716.04035511
2018-07-21,64442.6765395
2018-07-22,2697.90358
2018-07-23,17451.45774
2018-07-24,164853.34766211
2018-07-25,13771.51478
2018-07-26,67795.33695461
2018-07-27,13775.96311732
2018-07-28,440676.62212912
2018-07-29,6965.86282346
2018-07-30,200818.02526722
2018-07-31,46507.68937185
2018-08-01,6186.06877479
2018-08-02,30874.29951603
2018-08-03,14148.49727854
2018-08-04,11120.18425318
2018-08-05,2267.41331667
2018-08-06,2400.63463591
2018-08-07,5475.73643328
2018-08-08,32775.28022564
2018-08-09,41182.08137088
2018-08-10,5791.08255792
2018-08-11,23785.48083517
2018-08-12,17071.3913546
2018-08-13,34996.99717625
2018-08-14,38195.93035895
2018-08-15,40512.24031135
2018-08-16,2153.41298646
2018-08-17,18373.90313708
2018-08-18,12840.94971091
2018-08-19,30155.360155
2018-08-20,3832.5384044
2018-08-21,24483.84672875
2018-08-22,7807.68434857
2018-08-23,3326.78378571
2018-08-24,5004.21520517
2018-08-25,3364.16818444
2018-08-26,1686.21830062
2018-08-27,1871.7225615
2018-08-28,22525.75813226
2018-08-29,3876.88640429
2018-08-30,10059.6386475
2018-08-31,4885.87950585
2018-09-01,4216.35416053
2018-09-02,8868.89146955
2018-09-03,77506.70503296
2018-09-04,4510.67080488
2018-09-05,22739.56720995
2018-09-06,20337.26482865
2018-09-07,36060.03163644
2018-09-08,18243.10702208
2018-09-09,12078.24984892
2018-09-10,57590.87127719
2018-09-11,16834.88049821
2018-09-12,67558.41306116
2018-09-13,47023.42626042
2018-09-14,4713.5075375
2018-09-15,8193.98914235
2018-09-16,37554.10060383
2018-09-17,42527.3582004
2018-09-18,6004.13454381
2018-09-19,45954.51334984
2018-09-20,6770.6814075
2018-09-21,5152.632212
2018-09-22,5368.73696873
2018-09-23,9313.85679571
2018-09-24,11634.23161036
2018-09-25,24097.386293
2018-09-26,13339.73803788
2018-09-27,4726.16837333
2018-09-28,26170.79617887
2018-09-29,16566.9506712
2018-09-30,5383.80794078
2018-10-01,3494.57376923
2018-10-02,7347.9038346
2018-10-03,107878.628068
2018-10-04,13358.84395885
2018-10-05,16771.85431624
2018-10-06,12286.083813
2018-10-07,25515.5567072
2018-10-08,6712.99731
2018-10-09,13568.00636379
2018-10-10,62807.22694268
2018-10-11,47876.11442929
2018-10-12,17131.54996192
2018-10-13,8635.94950579
2018-10-14,21649.63287026
2018-10-15,10887.06463469
2018-10-16,11338.67957684
2018-10-17,3210.75655488
2018-10-18,9421.44019205
2018-10-19,51962.89860069
2018-10-20,58982.763579
2018-10-21,27195.29271139
2018-10-22,12240.35133319
2018-10-23,15738.20602292
2018-10-24,10275.91859143
2018-10-25,14507.7726372
2018-10-26,8253.17141222
2018-10-27,2619.27364994
2018-10-28,2508.61058611
2018-10-29,10309.98305236
2018-10-30,23699.32875958
2018-10-31,51489.32811459
2018-11-01,536232.21187689
2018-11-02,8260.08455271
2018-11-03,8024.507514
2018-11-04,10944.39659889
2018-11-05,16517.94031667
2018-11-06,15613.57227111
2018-11-07,22094.65173771
2018-11-08,5030.62845655
2018-11-09,8955.2110888
2018-11-10,10057.33076923
2018-11-11,8286.19026006
2018-11-12,23557.25872017
2018-11-13,26738.2142332
2018-11-14,21346.48598233
2018-11-15,18239.45486937
2018-11-16,15002.80991278
2018-11-17,14479.70517119
2018-11-18,3529.24584242
2018-11-19,7503.9808948
2018-11-20,50877.48965329
2018-11-21,7727.71272788
2018-11-22,9708.70018111
2018-11-23,23137.45745723
2018-11-24,46234.91265925
2018-11-25,4024.00442722
2018-11-26,11795.6999766
2018-11-27,39045.26279444
2018-11-28,3500.16434938
2018-11-29,6471.648812
2018-11-30,11609.91401935
2018-12-01,5629.43466136
2018-12-02,9112.26273405
2018-12-03,8375.88356462
2018-12-04,12425.39277
2018-12-05,4536.44636933
2018-12-06,54114.54764162
2018-12-07,10930.71561079
2018-12-08,22912.77064335
2018-12-09,20155.36389611
2018-12-10,24878.94789794
2018-12-11,31185.2536109
2018-12-12,22366.66716851
2018-12-13,33545.99818
2018-12-14,62464.957924
2018-12-15,26348.22995233
2018-12-16,27010.9348539
2018-12-17,66141.43927765
2018-12-18,70231.6847622
2018-12-19,151735.94377007
2018-12-20,118470.21632959
2018-12-21,47391.73812787
2018-12-22,7014.64150686
2018-12-23,2407.89573527
2018-12-24,26166.01423792
2018-12-25,7905.8745925
2018-12-26,23200.83773041
2018-12-27,4707.05449439
2018-12-28,4965.979909
2018-12-29,7677.31603461
2018-12-30,5179.12232787
2018-12-31,9131.75736268
2019-01-01,4009.58932669
2019-01-02,2569.41824257
2019-01-03,2304.68349364
2019-01-04,33933.84093866
2019-01-05,1734.97100761
2019-01-06,1941.51089847
2019-01-07,4459.09161647
2019-01-08,3075.42204414
2019-01-09,3104.18921317
2019-01-10,6381.05815382
2019-01-11,3382.57131164
2019-01-12,186244.595405
2019-01-13,49661.86544742
2019-01-14,4413.22891622
2019-01-15,7212.50618605
2019-01-16,4858.93954086
2019-01-17,8200.6636372
2019-01-18,1285.23099512
2019-01-19,1921.96977668
2019-01-20,3902.02518743
2019-01-21,4740.48633746
2019-01-22,6935.36255021
2019-01-23,5099.59372238
2019-01-24,3353.07232925
2019-01-25,3890.28371852
2019-01-26,3479.82852667
2019-01-27,3722.06970354
2019-01-28,45419.14584226
2019-01-29,8840.05304643
2019-01-30,18409.18249423
2019-01-31,6916.59324057
2019-02-01,3725.10548307
2019-02-02,2129.06119067
2019-02-03,9574.91582478
2019-02-04,5315.3950375
2019-02-05,9552.85825588
2019-02-06,3619.8776712
2019-02-07,1503.8868805
2019-02-08,3255.365445
2019-02-09,3803.01286088
2019-02-10,7945.69328436
2019-02-11,5693.890976
2019-02-12,2632.31288718
2019-02-13,3187.09915447
2019-02-14,31775.64045962
2019-02-15,20279.68272364
2019-02-16,8358.23839457
2019-02-17,5902.01195529
2019-02-18,3870.74201561
2019-02-19,2095.14876888
2019-02-20,3605.35167955
2019-02-21,2856.47025357
2019-02-22,631794.31286909
2019-02-23,11897.82805505
2019-02-24,22040.67799334
2019-02-25,19345.30293428
2019-02-26,49420.42575556
2019-02-27,19873.871095
2019-02-28,20467.77813992
2019-03-01,20166.25132436
2019-03-02,20569.40102097
2019-03-03,30862.43969054
2019-03-04,22428.59517968
2019-03-05,78828.86699206
2019-03-06,28602.88170703
2019-03-07,25165.34604626
2019-03-08,20529.08299463
2019-03-09,23793.75732578
2019-03-10,24067.37780818
2019-03-11,32132.90353992
2019-03-12,39897.73300041
2019-03-13,32887.95797556
2019-03-14,22886.3781235
2019-03-15,25255.89647323
2019-03-16,23179.1971753
2019-03-17,16621.0619311
2019-03-18,29610.94643747
2019-03-19,14662.37468872
2019-03-20,23664.13471442
2019-03-21,20032.5230505
2019-03-22,35104.01897943
2019-03-23,14697.34270081
2019-03-24,6225.546015
2019-03-25,13823.1059268
2019-03-26,13372.17563512
2019-03-27,17094.61700839
2019-03-28,15048.2972761
2019-03-29,16063.74733376
2019-03-30,9464.90564598
2019-03-31,18554.93777474
2019-04-01,12302.54639595
2019-04-02,30251.52347013
2019-04-03,22061.16490426
2019-04-04,34139.75673459
2019-04-05,37481.84361071
2019-04-06,64837.60459178
2019-04-07,45542.22493209
2019-04-08,41872.54915794
2019-04-09,33024.049694
2019-04-10,76672.68035952
2019-04-11,37093.21205312
2019-04-12,26999.94409154
2019-04-13,36949.81188783
2019-04-14,41346.98000083
2019-04-15,18815.56598374
2019-04-16,15935.72346916
2019-04-17,17179.00450872
2019-04-18,10764.66637652
2019-04-19,14072.17682418
2019-04-20,30234.35491382
2019-04-21,16814.36159907
2019-04-22,13590.09161923
2019-04-23,16601.57133451
2019-04-24,16283.68445025
2019-04-25,18884.67546663
2019-04-26,78504.3144048
2019-04-27,29318.00840225
2019-04-28,29766.17682577
2019-04-29,28371.86948469
2019-04-30,26341.3657374
2019-05-01,16867.21890634
2019-05-02,24283.57202649
2019-05-03,23007.04032108
2019-05-04,21564.92624172
2019-05-05,28187.75461886
2019-05-06,20217.03828999
2019-05-07,29163.79835107
2019-05-08,33408.71013904
2019-05-09,28904.71569539
2019-05-10,31118.89682676
2019-05-11,34984.89061334
2019-05-12,35229.06105038
2019-05-13,36376.35590425
2019-05-14,50158.10964116
2019-05-15,33812.30908699
2019-05-16,37768.0233485
2019-05-17,32677.31421268
2019-05-18,23744.02687252
2019-05-19,26715.54164293
2019-05-20,18174.63443215
2019-05-21,26197.0657502
2019-05-22,14923.56812108
2019-05-23,29328.9358056
2019-05-24,74541.5008588
2019-05-25,12451.12089655
2019-05-26,15946.19278993
2019-05-27,22458.39309926
2019-05-28,23368.97207486
2019-05-29,19024.36165249
2019-05-30,15905.96760527
2019-05-31,29078.54089137
2019-06-01,16768.72209058
2019-06-02,11191.34065294
2019-06-03,14158.57496444
2019-06-04,21710.54111815
2019-06-05,18835.62845754
2019-06-06,12822.65330927
2019-06-07,11636.15264871
2019-06-08,7996.88734479
2019-06-09,12094.90267085
2019-06-10,19145.56775045
2019-06-11,11127.21085937
2019-06-12,11899.48437332
2019-06-13,12808.94436632
2019-06-14,8676.60301978
2019-06-15,13422.66950985
2019-06-16,13535.67163216
2019-06-17,13130.43548594
2019-06-18,14491.16520055
2019-06-19,10283.58433553
2019-06-20,10211.61750413
2019-06-21,9377.59864387
2019-06-22,15186.12744662
2019-06-23,11467.81467443
2019-06-24,10280.11983523
2019-06-25,10940.77457706
2019-06-26,15378.90815218
2019-06-27,14836.55235426
2019-06-28,15344.78473152
2019-06-29,13529.04509242
2019-06-30,18517.08853149
2019-07-01,15479.46546183
2019-07-02,15774.277126
2019-07-03,15490.58233488
2019-07-04,13450.1763971
2019-07-05,16291.80041715
2019-07-06,16275.44664011
2019-07-07,11356.66517474
2019-07-08,17615.35199091
2019-07-09,18644.24292266
2019-07-10,21555.55352716
2019-07-11,18220.54861785
2019-07-12,13350.76238008
2019-07-13,10659.92419763
2019-07-14,12689.75108261
2019-07-15,14012.60305742
2019-07-16,16275.01811848
2019-07-17,14306.68913156
2019-07-18,14847.9378824
2019-07-19,11488.12334788
2019-07-20,9969.61146866
2019-07-21,9055.02716457
2019-07-22,12025.60877889
2019-07-23,10060.88019216
2019-07-24,9384.73972554
2019-07-25,10172.56902045
2019-07-26,8950.70809601
2019-07-27,15600.09565549
2019-07-28,7125.47025802
2019-07-29,9522.22738221
2019-07-30,9262.3023798
2019-07-31,11121.46788619
2019-08-01,8449.01381572
2019-08-02,13434.92491349
2019-08-03,9947.85933001
2019-08-04,10401.56103474
2019-08-05,15494.21356355
2019-08-06,16027.61742741
2019-08-07,15312.84565861
2019-08-08,14086.21275188
2019-08-09,15633.40183813
2019-08-10,13214.36248083
2019-08-11,8223.85586877
2019-08-12,10383.72064001
2019-08-13,13603.58469439
2019-08-14,14573.77607794
2019-08-15,14296.51494767
2019-08-16,12131.43536181
2019-08-17,7916.04394674
2019-08-18,7323.72712607
2019-08-19,9537.87202858
2019-08-20,9782.68066045
2019-08-21,10053.51966221
2019-08-22,9455.01376216
2019-08-23,8914.32528224
2019-08-24,8340.71515111
2019-08-25,7844.13124572
2019-08-26,13166.20354857
2019-08-27,8336.65876827
2019-08-28,10361.61014045
2019-08-29,9959.17414195
2019-08-30,8390.26374898
2019-08-31,5632.32160894
2019-09-01,6480.7093209
2019-09-02,10925.97175402
2019-09-03,10742.62410033
2019-09-04,8845.58733698
2019-09-05,8433.38179835
2019-09-06,10791.60729344
2019-09-07,7079.58218045
2019-09-08,7950.56885743
2019-09-09,11601.25329142
2019-09-10,12201.09098979
2019-09-11,9451.71057939
2019-09-12,12774.68575375
2019-09-13,8975.15084993
2019-09-14,8200.91231281
2019-09-15,8887.09794467
2019-09-16,13098.66506568
2019-09-17,12953.92211442
2019-09-18,13707.34301092
2019-09-19,13404.24271274
2019-09-20,12652.10615619
2019-09-21,7733.65400473
2019-09-22,7705.82584349
2019-09-23,11155.07806167
2019-09-24,17158.49819698
2019-09-25,16665.00230648
2019-09-26,12955.15141011
2019-09-27,11624.88770306
2019-09-28,8715.00060276
2019-09-29,9049.79301478
2019-09-30,11176.06877137
2019-10-01,10223.25578671
2019-10-02,8712.91824429
2019-10-03,9489.32825645
2019-10-04,8816.24952725
2019-10-05,7454.16432453
2019-10-06,7637.17814468
2019-10-07,8811.4290929
2019-10-08,10971.49290596
2019-10-09,13527.58286567
2019-10-10,10675.72474253
2019-10-11,11941.57232605
2019-10-12,6909.14428148
2019-10-13,6308.98008086
2019-10-14,7866.37668919
2019-10-15,8041.51482906
2019-10-16,7372.64233326
2019-10-17,7075.85271465
2019-10-18,7568.21088209
2019-10-19,6375.74054668
2019-10-20,7201.43884076
2019-10-21,10483.65488125
2019-10-22,11523.82755707
2019-10-23,16925.85771258
2019-10-24,21266.31405011
2019-10-25,26895.19852765
2019-10-26,25796.10080747
2019-10-27,15454.224026
2019-10-28,23218.10972204
2019-10-29,19539.23776575
2019-10-30,20186.65753393
2019-10-31,17139.78853315
2019-11-01,10540.79576232
2019-11-02,9414.25191848
2019-11-03,7217.18738024
2019-11-04,11514.0821558
2019-11-05,10843.03547145
2019-11-06,10284.48611894
2019-11-07,8758.28466398
2019-11-08,10483.45285454
2019-11-09,7437.32689437
2019-11-10,7067.36376927
2019-11-11,9613.30331167
2019-11-12,9328.8130106
2019-11-13,10317.07612608
2019-11-14,8891.27936795
2019-11-15,9803.13405647
2019-11-16,6054.31197943
2019-11-17,6589.29509983
2019-11-18,10328.72251741
2019-11-19,9192.11953391
2019-11-20,8522.07392008
2019-11-21,11176.12399587
2019-11-22,11663.03138199
2019-11-23,7889.58935016
2019-11-24,7431.15837659
2019-11-25,10810.90143996
2019-11-26,7145.20672998
2019-11-27,12305.30155418
2019-11-28,9707.7158595
2019-11-29,10322.24917751
2019-11-30,7228.73058068
2019-12-01,4533.77508797
2019-12-02,6448.35653924
2019-12-03,8548.9371431
2019-12-04,10016.86700201
2019-12-05,10000.80071657
2019-12-06,10275.8679811
2019-12-07,8365.96308435
2019-12-08,6337.95586135
2019-12-09,10356.07327352
2019-12-10,9632.5646555
2019-12-11,10751.69099784
2019-12-12,8983.42948802
2019-12-13,7853.20068192
2019-12-14,7880.9161061
2019-12-15,5569.65627659
2019-12-16,10060.13601827
2019-12-17,8657.52160289
2019-12-18,10679.24326413
2019-12-19,10163.06234513
2019-12-20,8335.69662014
2019-12-21,5816.97790038
2019-12-22,6790.42897009
2019-12-23,11517.36885384
2019-12-24,8636.5583062
2019-12-25,7160.93016686
2019-12-26,8004.47189257
2019-12-27,8326.62121342
2019-12-28,5919.04279721
2019-12-29,6714.99531312
2019-12-30,8790.27214597
2019-12-31,6819.01219411
2020-01-01,6140.70879371
2020-01-02,8087.16315499
2020-01-03,10456.01157474
2020-01-04,11293.29266037
2020-01-05,6747.6819812
2020-01-06,10838.39532637
2020-01-07,12286.44376502
2020-01-08,10889.28422975
2020-01-09,10867.96485543
2020-01-10,10979.33573658
2020-01-11,8079.05190952
2020-01-12,7293.92447886
2020-01-13,11623.0719473
2020-01-14,14195.61672246
2020-01-15,12664.53254757
2020-01-16,9954.83922435
2020-01-17,11672.42744842
2020-01-18,6228.72420897
2020-01-19,7812.57739819
2020-01-20,12730.85758083
2020-01-21,13143.77163682
2020-01-22,11733.89778926
2020-01-23,15401.59465541
2020-01-24,10632.32895437
2020-01-25,7831.16653738
2020-01-26,9016.55560755
2020-01-27,12416.09084217
2020-01-28,10788.62739244
2020-01-29,10457.41713526
2020-01-30,9213.73278663
2020-01-31,9340.54359609
2020-02-01,6866.87840845
2020-02-02,7273.3894173
2020-02-03,7971.36634854
2020-02-04,9712.32015453
2020-02-05,10330.37032615
2020-02-06,9366.73176312
2020-02-07,8261.86549898
2020-02-08,6298.65928558
2020-02-09,5113.39904428
2020-02-10,8201.44000077
2020-02-11,7381.71628694
2020-02-12,7794.05285206
2020-02-13,8808.05407454
2020-02-14,5891.34916056
2020-02-15,5725.56662234
2020-02-16,6836.96379647
2020-02-17,10048.99758905
2020-02-18,8889.41824327
2020-02-19,8824.57081714
2020-02-20,7939.31347736
2020-02-21,7322.72507824
2020-02-22,6322.55222936
2020-02-23,5996.59751886
2020-02-24,6081.2093603
2020-02-25,7203.01578274
2020-02-26,9140.87880641
2020-02-27,8688.951047
2020-02-28,6685.87863071
2020-02-29,5437.87881115
2020-03-01,5008.76981133
2020-03-02,9006.67934658
2020-03-03,8751.72898948
2020-03-04,7727.53611208
2020-03-05,8540.15069732
2020-03-06,7682.50023447
2020-03-07,4817.02950709
2020-03-08,8108.16951712
2020-03-09,10619.81704356
2020-03-10,9052.78907326
2020-03-11,7825.00550024
2020-03-12,9267.40523767
2020-03-13,17200.62228315
2020-03-14,8891.29255106
2020-03-15,8685.07702259
2020-03-16,9445.05637877
2020-03-17,6881.07903998
2020-03-18,6361.2243665
2020-03-19,7635.93765934
2020-03-20,7269.70606599
2020-03-21,5381.98671818
2020-03-22,5725.71028855
2020-03-23,7619.59867273
2020-03-24,8132.72541663
2020-03-25,7092.56781236
2020-03-26,5411.8885778
2020-03-27,5699.63853248
2020-03-28,6409.03064895
2020-03-29,3921.3670062
2020-03-30,7357.45389731
2020-03-31,4727.97993523
2020-04-01,7652.13830943
2020-04-02,8505.69813043
