date,Exchange Outflow (Total)
2017-12-28,318.0
2017-12-29,0.0
2017-12-30,0.0
2017-12-31,0.0
2018-01-01,0.0
2018-01-02,0.0
2018-01-03,0.0
2018-01-04,0.0
2018-01-05,0.0
2018-01-06,0.0
2018-01-07,0.0
2018-01-08,0.0
2018-01-09,0.0
2018-01-10,0.0
2018-01-11,0.0
2018-01-12,0.0
2018-01-13,0.0
2018-01-14,0.0
2018-01-15,0.0
2018-01-16,0.0
2018-01-17,0.0
2018-01-18,0.0
2018-01-19,0.0
2018-01-20,0.0
2018-01-21,0.0
2018-01-22,593.054366
2018-01-23,1000210.268
2018-01-24,1142439.78
2018-01-25,2060001.2
2018-01-26,11516003.9258
2018-01-27,9031677.283756
2018-01-28,6011485.285428
2018-01-29,450097.1758
2018-01-30,13700998.3189
2018-01-31,50251.74
2018-02-01,109973.8496
2018-02-02,4006247.540934
2018-02-03,1301817.301
2018-02-04,77962.8835
2018-02-05,130002.0
2018-02-06,86850.57158
2018-02-07,952251.8646
2018-02-08,394173.4046
2018-02-09,8495.5292
2018-02-10,317097.0584
2018-02-11,16620.0
2018-02-12,263106.5292
2018-02-13,60193.2938
2018-02-14,151141.0
2018-02-15,562326.2938
2018-02-16,39997.7646
2018-02-17,526221.2938
2018-02-18,0.0
2018-02-19,0.0
2018-02-20,29997.7646
2018-02-21,175000.0
2018-02-22,0.0
2018-02-23,0.0
2018-02-24,0.0
2018-02-25,0.0
2018-02-26,196380.7646
2018-02-27,178311.0
2018-02-28,20044.4492
2018-03-01,150195.5292
2018-03-02,650.5292
2018-03-03,2000.0
2018-03-04,55137.300934
2018-03-05,0.0
2018-03-06,0.0
2018-03-07,168572.7646
2018-03-08,0.0
2018-03-09,130816.1292
2018-03-10,63367.7646
2018-03-11,0.0
2018-03-12,124319.5292
2018-03-13,1245776.609015
2018-03-14,216899.879052
2018-03-15,0.0
2018-03-16,19865.9705
2018-03-17,79986.3505
2018-03-18,1309996.701
2018-03-19,124695.3505
2018-03-20,260478.3505
2018-03-21,90248.471
2018-03-22,90196.701
2018-03-23,0.0
2018-03-24,41915.2405
2018-03-25,3049996.6205
2018-03-26,1013900.6785
2018-03-27,2700886.674568
2018-03-28,68123.601836
2018-03-29,38281.9258
2018-03-30,50099.9256
2018-03-31,0.0
2018-04-01,0.0
2018-04-02,99998.9628
2018-04-03,818255.7768
2018-04-04,0.0
