date,Transfer Count (Total)
2018-11-24,0
2018-11-25,0
2018-11-26,0
2018-11-27,4
2018-11-28,14
2018-11-29,0
2018-11-30,0
2018-12-01,0
2018-12-02,0
2018-12-03,0
2018-12-04,0
2018-12-05,0
2018-12-06,0
2018-12-07,0
2018-12-08,0
2018-12-09,0
2018-12-10,0
2018-12-11,0
2018-12-12,0
2018-12-13,0
2018-12-14,0
2018-12-15,0
2018-12-16,0
2018-12-17,0
2018-12-18,0
2018-12-19,0
2018-12-20,0
2018-12-21,0
2018-12-22,0
2018-12-23,0
2018-12-24,0
2018-12-25,0
2018-12-26,0
2018-12-27,0
2018-12-28,0
2018-12-29,0
2018-12-30,0
2018-12-31,0
2019-01-01,0
2019-01-02,0
2019-01-03,0
2019-01-04,0
2019-01-05,0
2019-01-06,0
2019-01-07,1
2019-01-08,0
2019-01-09,0
2019-01-10,0
2019-01-11,1
2019-01-12,0
2019-01-13,0
2019-01-14,0
2019-01-15,0
2019-01-16,0
2019-01-17,0
2019-01-18,0
2019-01-19,0
2019-01-20,0
2019-01-21,0
2019-01-22,0
2019-01-23,12
2019-01-24,13
2019-01-25,4
2019-01-26,1
2019-01-27,0
2019-01-28,3
2019-01-29,6
2019-01-30,76
2019-01-31,258
2019-02-01,89
2019-02-02,49
2019-02-03,69
2019-02-04,59
2019-02-05,33
2019-02-06,29
2019-02-07,21
2019-02-08,56
2019-02-09,22
2019-02-10,34
2019-02-11,44
2019-02-12,28
2019-02-13,30
2019-02-14,19
2019-02-15,36
2019-02-16,39
2019-02-17,34
2019-02-18,42
2019-02-19,24
2019-02-20,53
2019-02-21,54
2019-02-22,38
2019-02-23,96
2019-02-24,38
2019-02-25,68
2019-02-26,32
2019-02-27,46
2019-02-28,21
2019-03-01,22
2019-03-02,44
2019-03-03,53
2019-03-04,55
2019-03-05,97
2019-03-06,37
2019-03-07,90
2019-03-08,43
2019-03-09,38
2019-03-10,14
2019-03-11,30
2019-03-12,39
2019-03-13,42
2019-03-14,48
2019-03-15,31
2019-03-16,36
2019-03-17,64
2019-03-18,75
2019-03-19,55
2019-03-20,194
2019-03-21,134
2019-03-22,122
2019-03-23,48
2019-03-24,27
2019-03-25,107
2019-03-26,54
2019-03-27,100
2019-03-28,71
2019-03-29,48
2019-03-30,32
2019-03-31,36
2019-04-01,53
2019-04-02,197
2019-04-03,182
2019-04-04,129
2019-04-05,56
2019-04-06,51
2019-04-07,47
2019-04-08,104
2019-04-09,73
2019-04-10,104
2019-04-11,126
2019-04-12,141
2019-04-13,91
2019-04-14,78
2019-04-15,95
2019-04-16,51
2019-04-17,110
2019-04-18,124
2019-04-19,141
2019-04-20,130
2019-04-21,107
2019-04-22,184
2019-04-23,191
2019-04-24,196
2019-04-25,119
2019-04-26,125
2019-04-27,115
2019-04-28,87
2019-04-29,77
2019-04-30,139
2019-05-01,175
2019-05-02,115
2019-05-03,258
2019-05-04,257
2019-05-05,271
2019-05-06,256
2019-05-07,131
2019-05-08,83
2019-05-09,111
2019-05-10,180
2019-05-11,275
2019-05-12,152
2019-05-13,221
2019-05-14,225
2019-05-15,178
2019-05-16,221
