date,backpack,bitvavo,weex,valr,bitrue,coinex,biconomy.com,bitunix,coindcx,blofin,ourbit,bydfi,osl,toobit,coinstore,gate-us,coin8,byte-exchange,orangex,bigone,pionex,flipster,bitkan,okcoin,zoomex
2023-06-16,,,,,,,,,,,,,,,,,,,,,,,,2004970,
2023-06-17,,,,,,,,,,,,,,,,,,,,,,,,2287663,
2023-06-18,,,,,,,,,,,,,,,,,,,,,,,,-434952,
2023-06-19,,,,,,,,,,,,,,,,,,,,,,,,-52765,
2023-06-20,,,,,,,,,,,,,,,,,,,,,,,,1372255,
2023-06-21,,,,,,,,,,,,,,,,,,,,,,,,-1675472,
2023-06-22,,,,,,,,,,,,,,,,,,,,,,,,-1780835,
2023-06-23,,,,,,,,,,,,,,,,,,,,,,,,-5628813,
2023-06-24,,,,,,,,,,,,,,,,,,,,,,,,2160491,
2023-06-25,,,,,,,,,,,,,,,,,,,,,,,,-285939,
2023-06-26,,,,,,,,,,,,,,,,,,,,,,,,3537037,
2023-06-27,,,,,,,,,,,,,,,,,,,,,,,,-3436107,
2023-06-28,,,,,,,,,,,,,,,,,,,,,,,,1077074,
2023-06-29,,,,,,,,,,,,,,,,,,,,,,,,-2452950,
2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,5313417,
2023-07-01,,,,,,,,,,,,,,,,,,,,,,,,590827,
2023-07-02,,,,,,,,,,,,,,,,,,,,,,,,13534,
2023-07-03,,,,,,,,,,,,,,,,,,,,,,,,185986,
2023-07-04,,,,,,,,,,,,,,,,,,,,,,,,3459676,
2023-07-05,,,,,,,,,,,,,,,,,,,,,,,,-1189943,
2023-07-06,,,,,,,,,,,,,,,,,,,,,,,,-993570,
2023-07-07,,,,,,,,,,,,,,,,,,,,,,,,1250968,
2023-07-08,,,,,,,,,,,,,,,,,,,,,,,,312541,
2023-07-09,,,,,,,,,,,,,,,,,,,,,,,,87784,
2023-07-10,,,,,,,,,,,,,,,,,,,,,,,,-144418,
2023-07-11,,,,,,,,,,,,,,,,,,,,,,,,2194215,
2023-07-12,,,,,,,,,,,,,,,,,,,,,,,,-524458,
2023-07-13,,,,,,,,,,,,,,,,,,,,,,,,1713535,
2023-07-14,,,,,,,,,,,,,,,,,,,,,,,,3162071,
2023-07-15,,,,,,,,,,,,,,,,,,,,,,,,-4135023,
2023-07-16,,,,,,,,,,,,,,,,,,,,,,,,78549,
2023-07-17,,,,,,,,,,,,,,,,,,,,,,,,-321337,
2023-07-18,,,,,,,,,,,,,,,,,,,,,,,,-727000,
2023-07-19,,,,,,,,,,,,,,,,,,,,,,,,-296282,
2023-07-20,,,,,,,,,,,,,,,,,,,,,,,,-344647,
2023-07-21,,,,,,,,,,,,,,,,,,,,,,,,-254043,
2023-07-22,,,,,,,,,,,,,,,,,,,,,,,,-11669370,
