date,bitvenus,hibt,bitlo,coinsquare,hashkey-global,bitmart,levex,lbank,hotcoin,woo-x,cex.io,probit-global,nonkyc,p2pb2b,exmo,bitomato,nbx,tothemoon,btse,coinw,arkham-exchange,fastex,latoken,tradeogre,grovex
2022-11-22,,,,1040249,,,,,,,,,,,,,,,,,,,,,
2022-11-23,,,,2924802,,,,,,,,,,,,,,,,,,,,,
2022-11-24,,,,3512281,,,,,,,,,,,,,,,,,,,,,
2022-11-25,,,,1673322,,,,,,,,,,,,,,,,,,,,,
2022-11-26,,,,141901,,,,,,,,,,,,,15199,,,,,,,,
2022-11-27,,,,-2512646,,,,,,,,,,,,,3555,,,,,,,,
2022-11-28,,,,-697458,,,,,,,,,,,,,-29212,,,,,,,,
2022-11-29,,,,-3564803,,,,,,,,,,,,,-424049,,,,,,,,
2022-11-30,,,,7070906,,,,,,,,,,,,,693461,,,,,,,,
2022-12-01,,,,1937991,,,,,,,,,,,,,182499,,,,,,,,
2022-12-02,,,,-990370,,,,,,,,,,,,,27764,,,,,,,,
2022-12-03,,,,6612997,,,,,,,,,,,,,-80903,,,,,,,,
2022-12-04,,,,-982229,,,,,,,,,,,,,-139867,,,,,,,,
2022-12-05,,,,2740776,,,,,,,,,,,,,201791,,,,,,,,
2022-12-06,,,,-1768727,,,,,,,,,,,,,-145869,,,,,,,,
2022-12-07,,,,445640,,,,,,,,,,,,,-563298,,,,,,,,
2022-12-08,,,,-2339082,,,,,,,,,,,,,-167355,,,,,,,,
2022-12-09,,,,2888515,,,,,,,,,,,,,209659,,,,,,,,
2022-12-10,,,,-646977,,,,,,-3240066,,,,,,,-62691,,,,,,,,
2022-12-11,,,,129032,,,,,,933451,,,,,,,15211,,,,,,,,
2022-12-12,,,,-1447147,,,,,,-711817,,,,,,,-92073,,,,,,,,
2022-12-13,,,,634581,,,,,,1120184,,,,,,,91068,,,,,,,,
2022-12-14,,,,4726555,,,,,,3805810,,,,,,,269904,,,,,,,,
2022-12-15,,,,-1181215,,,,,,-1095239,,,,,,,-34389,,,,,,,,
2022-12-16,,,,-3015915,,,,,,1663605,,,,,,,-162746,,,,,,,,
2022-12-17,,,,-8243286,,,,,,-2730939,,,,,,,-478940,,,,,,,,
2022-12-18,,,,196027,,,,,,-1132305,,,,,,,217221,,,,,,,,
2022-12-19,,,,178346,,,,,,-442878,,,,,,,36935,,,,,,,,
2022-12-20,,,,-2612478,,,,,,-3732504,,,,,,,-167223,,,,,,,,
2022-12-21,,,,3316796,,,,,,-405901,,,,,,,274965,,,,,,,,
2022-12-22,,,,463411,,,,,,84654,,,,,,,22635,,,,,,,,
2022-12-23,,,,-612545,,,,,,4591032,,,,,,,-37795,,,,,,,,
2022-12-24,,,,429356,,,,,,-315939,,,,,,,-3903,,,,,,,,
2022-12-25,,,,106690,,,,,,-172692,,,,,,,498108,,,,,,,,
2022-12-26,,,,-379646,,,,,,-706329,,,,,,,36782,,,,,,,,
2022-12-27,,,,1207827,,,,,,2469212,,,,,,,30424,,,,,,,,
2022-12-28,,,,-1240408,,,,,,-337240,,,,,,,-56971,,,,,,,,
2022-12-29,,,,-2106288,,,,,,-81738,,,,,,,-633328,,,,,,,,
2022-12-30,,,,92477,,,,,,-1607348,,,,,,,6960,,,,,,,,
