date,gecko_id,total_flow_usd
2024-01-11,bitcoin,655300000
2024-01-12,bitcoin,203000000
2024-01-16,bitcoin,-52700000
2024-01-17,bitcoin,453800000
2024-01-18,bitcoin,-126600000
2024-01-19,bitcoin,43600000
2024-01-22,bitcoin,-87400000
2024-01-23,bitcoin,-106100000
2024-01-24,bitcoin,-158300000
2024-01-25,bitcoin,-79800000
2024-01-26,bitcoin,14800000
2024-01-29,bitcoin,255100000
2024-01-30,bitcoin,247300000
2024-01-31,bitcoin,197600000
2024-02-01,bitcoin,38500000
2024-02-02,bitcoin,80000000
2024-02-05,bitcoin,68100000
2024-02-06,bitcoin,33600000
2024-02-07,bitcoin,146000000
2024-02-08,bitcoin,405000000
2024-02-09,bitcoin,541500000
2024-02-12,bitcoin,493400000
2024-02-13,bitcoin,636300000
2024-02-14,bitcoin,339700000
2024-02-15,bitcoin,477400000
2024-02-16,bitcoin,330300000
2024-02-20,bitcoin,135600000
2024-02-21,bitcoin,-35600000
2024-02-22,bitcoin,251400000
2024-02-23,bitcoin,232500000
2024-02-26,bitcoin,519900000
2024-02-27,bitcoin,576900000
2024-02-28,bitcoin,673400000
2024-02-29,bitcoin,92300000
2024-03-01,bitcoin,-139600000
2024-03-04,bitcoin,562700000
2024-03-05,bitcoin,648300000
2024-03-06,bitcoin,332000000
2024-03-07,bitcoin,472500000
2024-03-08,bitcoin,223000000
2024-03-11,bitcoin,505400000
2024-03-12,bitcoin,1045000000
2024-03-13,bitcoin,683700000
2024-03-14,bitcoin,132700000
2024-03-15,bitcoin,198800000
2024-03-18,bitcoin,-154300000
2024-03-19,bitcoin,-326200000
2024-03-20,bitcoin,-261500000
2024-03-21,bitcoin,-94000000
2024-03-22,bitcoin,-51600000
2024-03-25,bitcoin,15400000
2024-03-26,bitcoin,418000000
2024-03-27,bitcoin,243500000
2024-03-28,bitcoin,182800000
2024-04-01,bitcoin,-85700000
2024-04-02,bitcoin,39500000
2024-04-03,bitcoin,113500000
2024-04-04,bitcoin,213400000
2024-04-05,bitcoin,203000000
2024-04-08,bitcoin,-223800000
2024-04-09,bitcoin,-19400000
2024-04-10,bitcoin,123700000
2024-04-11,bitcoin,91300000
2024-04-12,bitcoin,-55100000
2024-04-15,bitcoin,-36700000
2024-04-16,bitcoin,-58000000
2024-04-17,bitcoin,-165000000
2024-04-18,bitcoin,-4300000
2024-04-19,bitcoin,59700000
2024-04-22,bitcoin,62200000
2024-04-23,bitcoin,31600000
2024-04-24,bitcoin,-120600000
2024-04-25,bitcoin,-217600000
2024-04-26,bitcoin,-83600000
2024-04-29,bitcoin,-51600000
2024-04-30,bitcoin,-161600000
2024-05-01,bitcoin,-563700000
2024-05-02,bitcoin,-34400000
2024-05-03,bitcoin,378300000
2024-05-06,bitcoin,217000000
2024-05-07,bitcoin,-15700000
2024-05-08,bitcoin,11500000
2024-05-09,bitcoin,-11300000
2024-05-10,bitcoin,-84700000
2024-05-13,bitcoin,66000000
2024-05-14,bitcoin,100500000
2024-05-15,bitcoin,303000000
2024-05-16,bitcoin,257300000
2024-05-17,bitcoin,221500000
2024-05-20,bitcoin,237200000
2024-05-21,bitcoin,305700000
2024-05-22,bitcoin,154000000
2024-05-23,bitcoin,107900000
2024-05-24,bitcoin,251900000
2024-05-28,bitcoin,45000000
2024-05-29,bitcoin,28300000
2024-05-30,bitcoin,48800000
2024-05-31,bitcoin,48800000
2024-06-03,bitcoin,105100000
2024-06-04,bitcoin,886600000
2024-06-05,bitcoin,488100000
2024-06-06,bitcoin,217700000
2024-06-07,bitcoin,131000000
2024-06-10,bitcoin,-64900000
2024-06-11,bitcoin,-200400000
2024-06-12,bitcoin,100800000
2024-06-13,bitcoin,-226200000
2024-06-14,bitcoin,-189900000
2024-06-17,bitcoin,-145900000
2024-06-18,bitcoin,-152400000
2024-06-20,bitcoin,-139900000
2024-06-21,bitcoin,-105900000
2024-06-24,bitcoin,-174500000
2024-06-25,bitcoin,31000000
2024-06-26,bitcoin,21400000
2024-06-27,bitcoin,11800000
2024-06-28,bitcoin,73000000
2024-07-01,bitcoin,129500000
2024-07-02,bitcoin,-13700000
2024-07-03,bitcoin,-20500000
2024-07-05,bitcoin,143100000
2024-07-08,bitcoin,294800000
2024-07-09,bitcoin,216400000
2024-07-10,bitcoin,147400000
2024-07-11,bitcoin,78900000
2024-07-12,bitcoin,310100000
2024-07-15,bitcoin,300900000
2024-07-16,bitcoin,422500000
2024-07-17,bitcoin,53300000
2024-07-18,bitcoin,37200000
2024-07-19,bitcoin,427200000
2024-07-22,bitcoin,485900000
2024-07-23,ethereum,106600000
2024-07-24,bitcoin,44500000
2024-07-25,ethereum,-152400000
2024-07-26,ethereum,-162700000
2024-07-29,bitcoin,124100000
2024-07-30,ethereum,33700000
2024-07-31,ethereum,-77200000
2024-08-01,ethereum,26700000
2024-08-02,bitcoin,-237400000
2024-08-05,ethereum,48800000
2024-08-06,ethereum,98400000
2024-08-07,bitcoin,45100000
2024-08-08,ethereum,-2900000
2024-08-09,ethereum,-15800000
2024-08-12,ethereum,5000000
2024-08-13,ethereum,24300000
2024-08-14,bitcoin,-81400000
2024-08-15,ethereum,-39200000
2024-08-16,bitcoin,35900000
2024-08-19,ethereum,-13500000
2024-08-20,ethereum,-6500000
2024-08-21,ethereum,-18000000
2024-08-22,ethereum,-800000
2024-08-23,ethereum,-5700000
2024-08-26,bitcoin,202600000
2024-08-27,ethereum,-3400000
2024-08-28,bitcoin,-105300000
2024-08-29,ethereum,-1700000
2024-08-30,bitcoin,-175600000
2024-09-03,ethereum,-47400000
2024-09-04,ethereum,-37500000
2024-09-05,ethereum,-200000
2024-09-06,bitcoin,-170000000
2024-09-09,bitcoin,28600000
2024-09-10,bitcoin,117000000
2024-09-11,ethereum,-500000
2024-09-12,ethereum,-20100000
2024-09-13,ethereum,1500000
2024-09-16,ethereum,-9400000
2024-09-17,ethereum,-15100000
2024-09-18,ethereum,-9800000
2024-09-19,bitcoin,158300000
2024-09-20,ethereum,2900000
2024-09-23,bitcoin,4500000
2024-09-24,bitcoin,136000000
2024-09-25,ethereum,43200000
2024-09-26,ethereum,-100000
2024-09-27,ethereum,58700000
2024-09-30,ethereum,-800000
2024-10-01,bitcoin,-242600000
2024-10-02,ethereum,14400000
2024-10-03,bitcoin,-54200000
2024-10-04,ethereum,7400000
2024-10-07,bitcoin,235200000
2024-10-08,ethereum,-8100000
2024-10-09,bitcoin,-40600000
2024-10-10,ethereum,3100000
2024-10-11,ethereum,-100000
2024-10-14,bitcoin,555900000
2024-10-15,ethereum,-12700000
2024-10-16,bitcoin,458500000
2024-10-17,bitcoin,470500000
2024-10-18,ethereum,1900000
2024-10-21,ethereum,-20800000
2024-10-22,ethereum,11900000
2024-10-23,ethereum,1200000
2024-10-24,ethereum,2300000
2024-10-25,bitcoin,402000000
2024-10-28,bitcoin,479400000
2024-10-29,ethereum,7600000
2024-10-30,ethereum,4400000
2024-10-31,ethereum,13000000
2024-11-01,ethereum,-10900000
2024-11-04,ethereum,-63200000
2024-11-05,bitcoin,-116800000
2024-11-06,bitcoin,621900000
2024-11-07,ethereum,79700000
2024-11-08,ethereum,85900000
2024-11-11,ethereum,295500000
2024-11-12,bitcoin,817500000
