name,tokenSymbol,totalCirculatingUSD
Ethereum,ETH,166965875107.55618
Tron,TRON,86956659514.15155
Solana,SOL,15744090866.39317
BSC,BNB,13647257553.187273
Hyperliquid L1,HYPE,5222060638.337582
Base,,4843926079.243041
Arbitrum,,3876430487.2768345
Polygon,MATIC,3590012639.521281
Aptos,APT,1649944845.8495023
Avalanche,AVAX,1496537304.2802854
Plasma,XPL,1413117127.617337
TON,TON,752724758.1990649
Mantle,MNT,750374511.7336111
OP Mainnet,,578588087.3633605
Sui,SUI,523465633.1401236
Monad,MON,457701057.9951509
XRPL,XRP,416072410.4086548
Stellar,XLM,401433213.1339457
Ink,,381144019.59968185
Fantom,FTM,338949557.21228623
Gnosis,GNO,332828446.23786587
X Layer,,330392844.2483151
StarkNet,,243157801.31610122
Provenance,,218700050.26381686
Plume Mainnet,PLUME,207829746.2945974
Kaia,,185322703.68264186
Celo,CELO,183342041.9185256
Sei,SEI,181713675.71582505
Cronos,CRO,180124092.46926138
Unichain,-,169631973.79643324
Noble,,161342741.54975003
Saga,SAGA,154311874.56083196
Kava,KAVA,125188863.80142617
Sonic,S,104377846.97440965
MegaETH,MEGA,90136303.1588075
Berachain,BERA,85360254.24977593
Omni,OMNI,80051626.98669949
Flare,FLR,78465928.24895254
Polkadot,DOT,77832812.77923504
Katana,,74732428.11290665
Algorand,ALGO,74214433.61229785
smartBCH,BCH,73760304.18933456
XDC,XDC,72381249.97997755
edgeX L1,,68962453.22977327
Near,NEAR,65195993.977339566
ZKsync Era,,57298649.81178389
Tezos,XTZ,54756266.34846984
Codex,,51841017.30665571
Cardano,ADA,49135394.93178957
Hedera,HBAR,46507892.718686916
Movement,MOVE,41764862.15706503
Linea,,41177675.52659141
PulseChain,PLS,36270398.392245084
Mixin,XIN,34484779.909905836
Osmosis,OSMO,31576753.74372677
World Chain,WLD,27805073.82335795
Stacks,STX,26039613.149045102
Blast,,25778814.693278585
Stable,STABLE,24905532.859787505
Fraxtal,FXTL,23191665.67499957
BOB,,20537251.04699284
Mezo,,20103528.585337374
Etherlink,,16859298.339754064
Injective,INJ,16354944.313304389
Scroll,,14412956.444649953
Rootstock,RBTC,12839676.673028065
Flow,FLOW,12549032.556260584
Abstract,,12007432.369421273
Waves,WAVES,11899007.063597385
Corn,,11837553.5767111
Immutable zkEVM,IMX,11641816.447189184
Hydration,HDX,11622688.164737388
KCC,KCS,10633381.397204136
Metis,METIS,9707098.30851076
OKExChain,OKT,9487381.50474016
MultiversX,EGLD,9366983.283302192
Morph,,8683326.11001958
Moonriver,MOVR,8662518.87696173
Manta,MANTA,8341674.726846732
Harmony,ONE,8102228.760931661
zkSync Lite,,7951350.516537793
Hemi,,6723475.005075001
Canto,,5654061.142919898
BSquared,,5111058.318453289
Zilliqa,ZIL,4767164.046672295
Aurora,AURORA,4694441.652303302
ICP,ICP,4473930.726956962
Soneium,SONE,4442507.768744405
IoTeX,IOTX,3975513.423159178
NEO,NEO,3860390.5616782107
Abcore,,3684425.970562725
CORE,CORE,3531752.9162196997
Bifrost Network,BFC,2975813.101996302
Fogo,FOGO,2944979.1123212483
Nibiru,NIBI,2944364.6517799194
Icon,ICX,2815740.9951872984
Taiko,,2746257.244717974
Moonbeam,GLMR,2531818.9271608926
EOS,EOS,1716486.1847792745
Meter,MTRG,1686716.8524862076
Boba,BOBA,1658642.1943892352
Secret,SCRT,1636241.981076993
Loopring,LRC,1538626.195317983
EthereumPoW,ETHW,1444856.0510279255
Wanchain,WAN,1399042.9523179599
Mode,MODE,1268354.874695517
Songbird,SGB,1159919.1948310656
Story,IP,1155113.3731354238
EDU Chain,EDU,1019497.0242442881
Polygon zkEVM,,943968.9528004033
DFK,JEWEL,849274.6278140772
Redbelly,RBNT,821369.2097939653
ThunderCore,TT,805966.8692675736
Zircuit,ZRC,785954.9625585251
Perennial,,725060.8278618203
Telos,TLOS,712734.1272973032
Karura,KAR,691742.8165906742
Kujira,KUJI,673635.585824
Lisk,LSK,624882.017816525
MANTRA,MANTRA,533979.6413345085
Dogechain,DG,434980.0771219638
Agoric,BLD,426588.9563242042
Astar,ASTR,426337.0437130552
Aztec,,420764.87111528055
Oasis,ROSE,405061.18505933724
Arbitrum Nova,,395345.38034258736
Bitlayer,,365019.6554849276
Ergo,ERG,334994.18475127616
Shape,,307899.1292387647
Bittorrent,BTT,303974.864050432
ApeChain,APE,270224.7529075544
Kusama,KSM,239777.73076901678
Statemine,,239777.73076901678
Syscoin,SYS,235479.8051367647
Fuse,FUSE,223961.16675111154
Viction,VIC,173327.08784044534
GOAT,GOATED,169576.76393714614
Filecoin,FIL,126829.57193871117
Elastos,ELA,126135.70958668343
Evmos,EVMOS,119674.75512657652
Zkfair,,87481.96543447711
EthereumClassic,ETC,73318.02424574993
Glue,GLUE,43878.446602999014
Theta,THETA,39778.26564454802
Shiden,SDN,32741.60247224777
Chia,XCH,30444.098856880715
Archway,ARCH,17587.270143028665
Swellchain,,9903.780841503352
Velas,VLX,7808.1563366181745
Conflux,CFX,3239.8047726229665
REINetwork,REI,2141.3217909744194
Everscale,EVER,1924.7384651233926
Penumbra,UM,479.7857470871736
Superposition,,319.8984712052813
Xai,XAI,25.013725912636755
Nero,NERO,10.998455746353947
Havah,,4.4635309045179365
WEMIX3.0,WEMIX,2.999574840476259
Ronin,RON,1.0360755283584213
TAC,TAC,0.5800017309478703
Q Protocol,QGOV,0.000011796603956304475
Milkomeda C1,,0
SXnetwork,SX,0
DefiChain,DFI,0
Ontology,ONT,0
Kardia,KAI,0
Crab,CRAB,0
Heco,HT,0
Terra Classic,LUNA,0
Kadena,KDA,0
Acala,ACA,0
re.al,,0
Concordium,CCD,0
VeChain,VET,0
BEVM,,0
