date,TVL
2017-10-01,0
2017-10-08,0
2017-10-15,0
2017-10-22,0
2017-10-29,0
2017-11-05,0
2017-11-12,0
2017-11-19,0
2017-11-26,0
2017-12-03,0
2017-12-10,0
2017-12-17,0
2017-12-24,0
2017-12-31,0
2018-01-07,0
2018-01-14,0
2018-01-21,0
2018-01-28,0
2018-02-04,0
2018-02-11,0
2018-02-18,11799306
2018-02-25,11924788
2018-03-04,18351636
2018-03-11,14201508
2018-03-18,10883302
2018-03-25,10883302
2018-04-01,8872233
2018-04-08,11513795
2018-04-15,11860237
2018-04-22,19557950
2018-04-29,28977326
2018-05-06,29590838
2018-05-13,29161024
2018-05-20,30305637
2018-05-27,24783617
2018-06-03,31986000
2018-06-10,30134960
2018-06-17,24002627
2018-06-24,21175105
2018-07-01,22483726
2018-07-08,25093689
2018-07-15,19888431
2018-07-22,20596340
2018-07-29,17815710
2018-08-05,16159086
2018-08-12,16800809
2018-08-19,16788445
2018-08-26,13119602
2018-09-02,34461150
2018-09-09,31565234
2018-09-16,18181250
2018-09-23,12120894
2018-09-30,15840876
2018-10-07,15813653
2018-10-14,13118608
2018-10-21,15344886
2018-10-28,18124774
2018-11-04,18343307
2018-11-11,16062153
2018-11-18,12519141
2018-11-25,9642573
2018-12-02,13221851
2018-12-09,9296580
2018-12-16,7772209
2018-12-23,12002498
2018-12-30,4149781
2019-01-06,314016364
2019-01-13,260217997
2019-01-20,253866163
2019-01-27,247621419
2019-02-03,232341479
2019-02-10,263945502
2019-02-17,271616640
2019-02-24,335154182
2019-03-03,306928585
2019-03-10,327652303
2019-03-17,338848314
2019-03-24,324065528
2019-03-31,340535136
2019-04-07,391038985
2019-04-14,389297705
2019-04-21,399268586
2019-04-28,356347839
2019-05-05,369623355
2019-05-12,408271574
2019-05-19,473558786
2019-05-26,502071339
2019-06-02,497170371
2019-06-09,465872717
2019-06-16,490892636
2019-06-23,568485744
2019-06-30,540856458
2019-07-07,523994915
2019-07-14,489755810
2019-07-21,450227146
2019-07-28,406240990
2019-08-04,431983427
2019-08-11,432311896
2019-08-18,418397984
2019-08-25,433578904
2019-09-01,417007111
2019-09-08,424394180
2019-09-15,453545900
2019-09-22,532688656
2019-09-29,460828355
2019-10-06,463042644
2019-10-13,493799862
2019-10-20,485164862
2019-10-27,560722501
2019-11-03,560235654
2019-11-10,599964521
2019-11-17,563338941
2019-11-24,570918387
2019-12-01,623877755
2019-12-08,615203375
2019-12-15,608262030
2019-12-22,596505625
2019-12-29,597478008
2020-01-05,611312656
2020-01-12,616715757
2020-01-19,722303915
2020-01-26,695253169
2020-02-02,798788470
2020-02-09,907158176
2020-02-16,1055097547
2020-02-23,917192468
2020-03-01,827142708
2020-03-08,864526839
2020-03-15,500878204
2020-03-22,493294754
2020-03-29,513006482
2020-04-05,571488008
2020-04-12,593923537
2020-04-19,648643981
2020-04-26,704976326
2020-05-03,782068269
2020-05-10,809797005
2020-05-17,754654878
2020-05-24,965064677
2020-05-31,1104016559
2020-06-07,1166356805
2020-06-14,1154936959
2020-06-21,1619259330
2020-06-28,1892069877
2020-07-05,2061643094
2020-07-12,2383208057
2020-07-19,2538505370
2020-07-26,3511363205
2020-08-02,3990659182
2020-08-09,4378644330
2020-08-16,5914500817
2020-08-23,6335537512
2020-08-30,7844581324
2020-09-06,7572257943
2020-09-13,8599335006
2020-09-20,9876592771
2020-09-27,10305337261
2020-10-04,9914090237
2020-10-11,9871684405
2020-10-18,9704822598
2020-10-25,10125177972
2020-11-01,9878538103
2020-11-08,10509939726
2020-11-15,11798768430
2020-11-22,12422288261
2020-11-29,11520014524
2020-12-06,12936639955
2020-12-13,12637314013
2020-12-20,14373816374
2020-12-27,14597029518
2021-01-03,15844734388
2021-01-10,22292318709
2021-01-17,22482481040
2021-01-24,23528586294
2021-01-31,27008023692
2021-02-07,35568578562
2021-02-14,41606018760
2021-02-21,48029076986
2021-02-28,40651666193
2021-03-07,45381915293
2021-03-14,52387171847
2021-03-21,54768937279
2021-03-28,51947770237
2021-04-04,69170871898
2021-04-11,76889427596
2021-04-18,88638226523
2021-04-25,83666275538
2021-05-02,105540350199
2021-05-09,120721665673
2021-05-16,115433783103
2021-05-23,74693893860
2021-05-30,78164308133
2021-06-06,90556561498
2021-06-13,87197939876
2021-06-20,84723658152
2021-06-27,74740236648
2021-07-04,83782560850
2021-07-11,86787690765
2021-07-18,81018263441
2021-07-25,86313053352
2021-08-01,95492687235
2021-08-08,105875240899
2021-08-15,112840507267
2021-08-22,116658474758
2021-08-29,118594634080
2021-09-05,133249814432
2021-09-12,124386763200
2021-09-19,129540307067
2021-09-26,119221088475
2021-10-03,129970018522
2021-10-10,138359501178
2021-10-17,147651984390
2021-10-24,156691888018
2021-10-31,154267236142
2021-11-07,169008429285
2021-11-14,174993505179
2021-11-21,172461579474
2021-11-28,164143470765
2021-12-05,160846688780
2021-12-12,158749876755
2021-12-19,161111975260
2021-12-26,171930980013
2022-01-02,166646969088
2022-01-09,151119940310
2022-01-16,160475231477
2022-01-23,128686220129
2022-01-30,128888859703
2022-02-06,140598158735
2022-02-13,139728534135
2022-02-20,135876518344
2022-02-27,136359745971
2022-03-06,135666951986
2022-03-13,134931591263
2022-03-20,145422804683
2022-03-27,152954251008
2022-04-03,161799122817
2022-04-10,153468433976
2022-04-17,147654282027
2022-04-24,145645454302
2022-05-01,135815392900
2022-05-08,130662121135
2022-05-15,79401649345
2022-05-22,77348687053
2022-05-29,76157582216
2022-06-05,75359516576
2022-06-12,69124116346
2022-06-19,49601481176
2022-06-26,54928149441
2022-07-03,52337807050
2022-07-10,55622926644
2022-07-17,55827480546
2022-07-24,59259150588
2022-07-31,61363863940
2022-08-07,61467223295
2022-08-14,64325321116
2022-08-21,57506308989
2022-08-28,56015286909
2022-09-04,56286230363
2022-09-11,57631856438
2022-09-18,52310158465
2022-09-25,51668746201
2022-10-02,52690081756
2022-10-09,52573381540
2022-10-16,50968983136
2022-10-23,50385333665
2022-10-30,54349642480
2022-11-06,54512119345
2022-11-13,42796683675
2022-11-20,41511356743
2022-11-27,40753350372
2022-12-04,40926156829
2022-12-11,41755549838
2022-12-18,39034294612
2022-12-25,39069303592
2023-01-01,37845166405
2023-01-08,39075667061
2023-01-15,43849013628
2023-01-22,46000312327
2023-01-29,46862251566
2023-02-05,48207792143
2023-02-12,46499000707
2023-02-19,50124865084
