date,Chain,TVL
2017-10-01,Ethereum,0
2017-10-08,Ethereum,0
2017-10-15,Ethereum,0
2017-10-22,Ethereum,0
2017-10-29,Ethereum,0
2017-11-05,Ethereum,0
2017-11-12,Ethereum,0
2017-11-19,Ethereum,0
2017-11-26,Ethereum,0
2017-12-03,Ethereum,0
2017-12-10,Ethereum,0
2017-12-17,Ethereum,0
2017-12-24,Ethereum,0
2017-12-31,Ethereum,0
2018-01-07,Ethereum,0
2018-01-14,Ethereum,0
2018-01-21,Ethereum,0
2018-01-28,Ethereum,0
2018-02-04,Ethereum,0
2018-02-11,Ethereum,0
2018-02-18,Ethereum,11799306
2018-02-25,Ethereum,11924788
2018-03-04,Ethereum,18351636
2018-03-11,Ethereum,14201508
2018-03-18,Ethereum,10883302
2018-03-25,Ethereum,10883302
2018-04-01,Ethereum,8872233
2018-04-08,Ethereum,11513795
2018-04-15,Ethereum,11860237
2018-04-22,Ethereum,19557950
2018-04-29,Ethereum,28977326
2018-05-06,Ethereum,29590838
2018-05-13,Ethereum,29161024
2018-05-20,Ethereum,30305637
2018-05-27,Ethereum,24783617
2018-06-03,Ethereum,31986000
2018-06-10,Ethereum,30134960
2018-06-17,Ethereum,24002627
2018-06-24,Ethereum,21175105
2018-07-01,Ethereum,22483726
2018-07-08,Ethereum,25093689
2018-07-15,Ethereum,19888431
2018-07-22,Ethereum,20596340
2018-07-29,Ethereum,17815710
2018-08-05,Ethereum,16159086
2018-08-12,Ethereum,16800809
2018-08-19,Ethereum,16788445
2018-08-26,Ethereum,13119602
2018-09-02,Ethereum,34461150
2018-09-09,Ethereum,31565234
2018-09-16,Ethereum,18181250
2018-09-23,Ethereum,12120894
2018-09-30,Ethereum,15840876
2018-10-07,Ethereum,15813653
2018-10-14,Ethereum,13118608
2018-10-21,Ethereum,15344886
2018-10-28,Ethereum,18124774
2018-11-04,Ethereum,18343307
2018-11-11,Ethereum,16062153
2018-11-18,Ethereum,12519141
2018-11-25,Ethereum,9642573
2018-12-02,Ethereum,13221851
2018-12-09,Ethereum,9296580
2018-12-16,Ethereum,7772209
2018-12-23,Ethereum,12002498
2018-12-30,Ethereum,4149781
2019-01-06,Ethereum,314016364
2019-01-13,Ethereum,260217997
2019-01-20,Ethereum,253866163
2019-01-27,Ethereum,247621419
2019-02-03,Ethereum,232341479
2019-02-10,Ethereum,263945502
2019-02-17,Ethereum,271616640
2019-02-24,Ethereum,335154182
2019-03-03,Ethereum,306928585
2019-03-10,Ethereum,327652303
2019-03-17,Ethereum,338848314
2019-03-24,Ethereum,324065528
2019-03-31,Ethereum,340535136
2019-04-07,Ethereum,391038985
2019-04-14,Ethereum,389297705
2019-04-21,Ethereum,399268586
2019-04-28,Ethereum,356347839
2019-05-05,Ethereum,369623355
2019-05-12,Ethereum,408271574
2019-05-19,Ethereum,473558786
2019-05-26,Ethereum,502071339
2019-06-02,Ethereum,497170371
2019-06-09,Ethereum,465872717
2019-06-16,Ethereum,490892636
2019-06-23,Ethereum,568485744
2019-06-30,Ethereum,540856458
2019-07-07,Ethereum,523994915
2019-07-14,Ethereum,489755810
2019-07-21,Ethereum,450227146
2019-07-28,Ethereum,406240990
2019-08-04,Ethereum,431983427
2019-08-11,Ethereum,432311896
2019-08-18,Ethereum,418397984
2019-08-25,Ethereum,433578904
2019-09-01,Ethereum,417007111
2019-09-08,Ethereum,424394180
2019-09-15,Ethereum,453545900
2019-09-22,Ethereum,532688656
2019-09-29,Ethereum,460828355
2019-10-06,Ethereum,463042644
2019-10-13,Ethereum,493799862
2019-10-20,Ethereum,485164862
2019-10-27,Ethereum,560722501
2019-11-03,Ethereum,560235654
2019-11-10,Ethereum,599964521
2019-11-17,Ethereum,563338941
2019-11-24,Ethereum,570918387
2019-12-01,Ethereum,623877755
2019-12-08,Ethereum,615203375
2019-12-15,Ethereum,608262030
2019-12-22,Ethereum,596505625
2019-12-29,Ethereum,597478008
2020-01-05,Ethereum,611312656
2020-01-12,Ethereum,616715757
2020-01-19,Ethereum,722303915
2020-01-26,Ethereum,695253169
2020-02-02,Ethereum,798788470
2020-02-09,Ethereum,907158176
2020-02-16,Ethereum,1055097547
2020-02-23,Ethereum,917192468
2020-03-01,Ethereum,827142708
2020-03-08,Ethereum,864526839
2020-03-15,Ethereum,500878204
2020-03-22,Ethereum,493294754
2020-03-29,Ethereum,513006482
2020-04-05,Ethereum,571129469
2020-04-05,Tron,358540
2020-04-12,Ethereum,593536071
2020-04-12,Tron,387466
2020-04-19,Ethereum,648221896
2020-04-19,Tron,422086
2020-04-26,Ethereum,704408112
2020-04-26,Tron,568215
2020-05-03,Ethereum,775092921
2020-05-03,Tron,6975348
2020-05-10,Ethereum,797801765
2020-05-10,Tron,11995240
2020-05-17,Ethereum,743461742
2020-05-17,Tron,11193136
2020-05-24,Celo,112578214
2020-05-24,Ethereum,837018779
2020-05-24,Tron,15467683
2020-05-31,Celo,174423694
2020-05-31,Ethereum,913611977
2020-05-31,Tron,15980887
2020-06-07,Celo,174822584
2020-06-07,Ethereum,974057747
2020-06-07,Tron,17476475
2020-06-14,Celo,175893704
2020-06-14,Ethereum,962110619
2020-06-14,Tron,16932636
2020-06-21,Celo,189076813
2020-06-21,Ethereum,1413776610
2020-06-21,Tron,16405907
2020-06-28,Celo,190383643
2020-06-28,Ethereum,1685133336
2020-06-28,Tron,16552898
2020-07-05,Celo,201784104
2020-07-05,Ethereum,1842540988
2020-07-05,Tron,17318002
2020-07-12,Celo,188986554
2020-07-12,Ethereum,2175221657
2020-07-12,Tron,18999847
2020-07-19,Celo,190405780
2020-07-19,Ethereum,2330322325
2020-07-19,Tron,17777265
