date,Bonds,Precious Metals,Private Credit,Public Equities,Reinsurance,Digital Assets,Private Equity & Venture,Equity Indices,Equity ETFs,Real Estate,Carbon Credits,Oil,Industrial Metals,Commodities,Commodity Baskets,Natural Gas,Agricultural Commodities,Mixed Public Markets
2021-09-04,,339983760.0,,,,,,,,,15059399.0,,,,,,,
2021-09-05,,338799850.0,,,,,,,,,14664428.0,,,,,,,
2021-09-06,,338601910.0,,,,,,,,,15089186.0,,,,,,,
2021-09-07,,339601527.0,,,,,,,,,14709149.0,,,,,,,
2021-09-08,,317737205.0,,,,,,,,,14319766.0,,,,,,,
2021-09-09,,315154418.0,,,,,,,,,13798736.0,,,,,,,
2021-09-10,,316093277.0,,,,,,,,,14688997.5,,,,,,,
2021-09-11,,317032136.0,,,,,,,,,15579259.0,,,,,,,
2021-09-12,,317909392.0,,,,,,,,,15652291.0,,,,,,,
2021-09-13,,316890004.0,,,,,,,,,15747479.0,,,,,,,
2021-09-14,,318226066.0,,,,,,,,,15531887.0,,,,,,,
2021-09-15,,318784168.0,,,,,,,,,17500939.0,,,,,,,
2021-09-16,,319342270.0,,,,,,,,,19469991.0,,,,,,,
2021-09-17,,313303185.0,,,,,,,,,29831446.0,,,,,,,
2021-09-18,,320618009.0,,,,,,,,,28512307.0,,,,,,,
2021-09-19,,321127529.0,,,,,,,,,29679325.0,,,,,,,
2021-09-20,,320825148.0,,,,,,,,,29106927.5,,,,,,,
2021-09-21,,320522767.0,,,,,,,,,28534530.0,,,,,,,
2021-09-22,,325558791.0,,,,,,,,,27861399.0,,,,,,,
2021-09-23,,322097148.0,,,,,,,,,28024891.0,,,,,,,
2021-09-24,,320186343.0,,,,,,,,,29916721.0,,,,,,,
2021-09-25,,321259871.0,,,,,,,,,28453490.0,,,,,,,
2021-09-26,,321190642.0,,,,,,,,,28356969.0,,,,,,,
2021-09-27,,320520024.0,,,,,,,,,28354080.0,,,,,,,
2021-09-28,,319847096.0,,,,,,,,,27478790.0,,,,,,,
2021-09-29,,318178263.0,,,,,,,,,27811636.0,,,,,,,
2021-09-30,,317811699.0,,,,,,,,,28205436.0,,,,,,,
2021-10-01,,326761942.0,,,,,,,,,28400839.0,,,,,,,
2021-10-02,,327166406.0,,,,,,,,,28013137.0,,,,,,,
2021-10-03,,327441726.0,,,,,,,,,27988489.0,,,,,,,
2021-10-04,,328316377.0,,,,,,,,,27814132.0,,,,,,,
2021-10-05,,328966475.0,,,,,,,,,29648247.0,,,,,,,
2021-10-06,,326905320.0,,,,,,,,,29682736.0,,,,,,,
2021-10-07,,327050029.0,,,,,,,,,28485522.0,,,,,,,
2021-10-08,,326282626.0,,,,,,,,,30517114.0,,,,,,,
2021-10-09,,326711589.0,,,,,,,,,27643630.0,,,,,,,
2021-10-10,,326925544.0,,,,,,,,,26843179.0,,,,,,,
2021-10-11,,326625871.0,,,,,,,,,26151327.0,,,,,,,
2021-10-12,,327465005.0,,,,,,,,,25921311.0,,,,,,,
2021-10-13,,327323048.0,,,,,,,,,25564623.0,,,,,,,
2021-10-14,,333343742.0,,,,,,,,,24122150.0,,,,,,,
2021-10-15,,333870524.0,,,,,,,,,24584636.0,,,,,,,
2021-10-16,,329977272.0,,,,,,,,,24069813.0,,,,,,,
2021-10-17,,329548791.0,,,,,,,,,24780086.0,,,,,,,
2021-10-18,,328437606.0,,,,,,,,,24470821.0,,,,,,,
2021-10-19,,328972050.0,,,,,,,,,24466325.0,,,,,,,
2021-10-20,,331745808.0,,,,,,,,,22947691.0,,,,,,,
2021-10-21,,331032545.0,,,,,,,,,61344102.0,,,,,,,
2021-10-22,,329025797.0,,,,,,,,,66314583.0,,,,,,,
2021-10-23,,332766501.0,,,,,,,,,70515994.0,,,,,,,
2021-10-24,,333402342.0,,,,,,,,,72128872.0,,,,,,,
2021-10-25,,332311149.0,,,,,,,,,75222135.0,,,,,,,
2021-10-26,,332964027.0,,,,,,,,,83200064.0,,,,,,,
2021-10-27,,330714281.0,,,,,,,,,79587356.0,,,,,,,
2021-10-28,,330636215.0,,,,,,,,,80629886.0,,,,,,,
2021-10-29,,331412575.0,,,,,,,,,78532385.0,,,,,,,
2021-10-30,,326630916.0,,,,,,,,,75562220.0,,,,,,,
2021-10-31,,327555996.0,,,,,,,,,78990203.0,,,,,,,
2021-11-01,,327191544.0,,,,,,,,,75278798.0,,,,,,,
2021-11-02,,330141745.0,,,,,,,,,80328161.0,,,,,,,
2021-11-03,,328988194.0,,,,,,,,,80513529.0,,,,,,,
2021-11-04,,325009457.0,,,,,,,,,90100481.0,,,,,,,
2021-11-05,,331033554.0,,,,,,,,,97351034.0,,,,,,,
2021-11-06,,336381944.0,,,,,,,,,96325825.0,,,,,,,
2021-11-07,,337105520.0,,,,,,,,,97582182.0,,,,,,,
2021-11-08,,339906288.0,,,,,,,,,100535482.0,,,,,,,
2021-11-09,,495305584.0,,,,,,,,,100923421.0,,,,,,,
2021-11-10,,500261746.0,,,,,,,,,101480879.0,,,,,,,
2021-11-11,,503593636.0,,,,,,,,,101172414.0,,,,,,,
2021-11-12,,508246345.0,,,,,,,,,99928325.0,,,,,,,
2021-11-13,,533656428.0,,,,,,,,,102868780.0,,,,,,,
2021-11-14,,534696651.0,,,,,,,,,108079148.0,,,,,,,
2021-11-15,,534782657.0,,,,,,,,,109847373.0,,,,,,,
2021-11-16,,523651161.0,,,,,,,,,102081300.0,,,,,,,
