date,open,high,low,close,Volume,Open Interest,Open Interest (Open),Open Interest (High,Open Interest (Low),Open Interest (Close)
2018-03-25,0.9,0.9,0.2,0.6,0,0,,,,
2018-04-01,0.8,1.0,-0.7,1.0,0,0,,,,
2018-04-08,0.2,0.3,0.2,0.3,0,0,,,,
2018-04-15,0.0,0.5,-0.2,-0.1,0,0,,,,
2018-04-22,-0.1,-0.1,-0.7,-0.3,0,0,,,,
2018-04-29,-0.9,-0.8,-1.3,-0.9,0,0,,,,
2018-05-06,-0.8,-0.5,-0.9,-0.8,0,0,,,,
2018-05-13,-0.8,-0.3,-0.8,-0.3,0,0,,,,
2018-05-20,-1.1,-0.6,-1.1,-0.6,0,0,,,,
2018-05-27,-1.1,-0.2,-1.1,-0.5,0,0,,,,
2018-06-03,-0.4,0.2,-0.4,0.2,0,0,,,,
2018-06-10,0.2,0.9,0.2,0.6,0,0,,,,
2018-06-17,0.7,0.7,0.1,0.1,0,0,,,,
2018-06-24,0.5,0.6,0.0,0.4,0,0,,,,
2018-07-01,0.4,0.4,0.2,0.4,0,0,,,,
2018-07-08,0.1,0.5,0.0,0.0,0,0,,,,
2018-07-15,0.1,0.1,-0.2,-0.1,0,0,,,,
2018-07-22,-0.4,-0.2,-0.7,-0.4,1,0,,,,
2018-07-29,-0.3,-0.3,-0.8,-0.4,36,0,,,,
2018-08-05,-0.6,-0.3,-0.6,-0.4,0,0,,,,
2018-08-12,-0.5,-0.4,-0.6,-0.6,400,0,,,,
2018-08-19,-0.6,-0.2,-0.7,-0.7,6,0,,,,
2018-08-26,-0.8,0.2,-0.8,0.2,40,0,,,,
2018-09-02,0.4,0.4,0.2,0.2,0,0,,,,
2018-09-09,0.2,0.2,0.0,0.1,0,0,,,,
2018-09-16,0.3,1.2,0.3,0.9,0,0,,,,
2018-09-23,0.8,1.1,0.6,1.1,0,0,,,,
2018-09-30,0.9,1.2,0.7,0.7,0,0,,,,
2018-10-07,0.6,0.6,0.2,0.3,130,0,,,,
2018-10-14,0.9,0.9,-0.3,0.0,40,0,,,,
2018-10-21,-0.2,0.0,-0.6,-0.3,2040,0,,,,
2018-10-28,-0.6,-0.4,-1.4,-1.4,80,0,,,,
2018-11-04,-0.8,-0.3,-0.8,-0.4,197,0,,,,
2018-11-11,-0.6,-0.4,-1.2,-0.5,20,0,,,,
2018-11-18,-0.8,-0.4,-0.8,-0.5,0,0,,,,
2018-11-25,-1.0,-0.2,-1.2,-0.3,0,0,,,,
2018-12-02,-0.5,0.4,-0.5,0.4,530,0,,,,
2018-12-09,0.2,0.2,-0.7,-0.6,130,0,,,,
2018-12-16,0.1,0.8,0.1,0.3,60,0,,,,
2018-12-23,0.3,0.3,-0.8,0.2,80,0,,,,
2018-12-30,0.1,0.4,-0.7,0.1,11,0,,,,
2019-01-06,0.0,0.0,-0.2,-0.2,100,0,,,,
2019-01-13,0.1,0.1,-0.5,-0.3,80,0,,,,
2019-01-20,-0.3,-0.2,-0.6,-0.5,1,0,,,,
2019-01-27,-0.8,-0.4,-1.0,-1.0,60,0,,,,
2019-02-03,-1.1,-1.1,-1.7,-1.7,870,0,,,,
2019-02-10,-1.3,-1.3,-1.5,-1.4,0,0,,,,
2019-02-17,-1.4,-1.1,-1.4,-1.2,0,0,,,,
2019-02-24,-0.8,-0.1,-1.1,-0.2,330,0,,,,
2019-03-03,-0.2,0.3,-0.2,0.3,0,0,,,,
2019-03-10,0.2,1.5,0.1,0.9,290,0,,,,
2019-03-17,1.0,1.4,0.9,0.9,0,0,,,,
2019-03-24,0.9,0.9,0.7,0.7,0,0,,,,
2019-03-31,1.6,1.6,0.5,0.5,810,0,,,,
