date,open,high,low,close,Volume,Open Interest,Open Interest (Open),Open Interest (High,Open Interest (Low),Open Interest (Close)
2021-11-28,4543.5,4543.5,4214.0,4214.0,143,0,,,,
2021-12-05,4199.5,4505.0,3930.0,4040.0,19826,2339,,,,
2021-12-12,4100.0,4161.0,3660.5,3855.0,14343,2538,,,,
2021-12-19,3954.0,4168.0,3793.0,4146.0,2377,3308,,,,
2021-12-26,4118.0,4145.0,3588.5,3650.0,27969,7077,,,,
2022-01-02,3839.5,3902.0,3055.5,3203.5,79167,22641,,,,
2022-01-09,3180.0,3417.5,2920.0,3305.0,89136,43668,,,,
2022-01-16,3361.0,3368.0,2560.0,2736.0,82064,63692,,,,
2022-01-23,2450.0,2718.0,2162.5,2512.0,110687,10896,,,,
2022-01-30,2550.0,2986.5,2486.5,2960.5,104481,25854,,,,
2022-02-06,3005.0,3287.5,2910.0,2919.0,69464,20951,,,,
2022-02-13,2908.5,3204.0,2752.0,2786.0,72018,20225,,,,
2022-02-20,2709.5,2757.0,2306.5,2716.0,67112,13721,,,,
2022-02-27,2640.0,3052.5,2571.5,2615.5,76932,24924,,,,
2022-03-06,2629.5,2775.0,2436.5,2529.5,94382,21725,,,,
2022-03-13,2565.5,2984.5,2488.5,2979.0,13387,2131,,,,
2022-03-20,2883.5,3212.5,2838.5,3127.5,39442,13951,,,,
2022-03-27,3164.5,3507.0,3164.5,3484.5,61876,24051,,,,
2022-04-03,3500.0,3599.0,3141.5,3237.0,78990,16441,,,,
2022-04-10,3274.5,3275.5,2947.0,2995.5,83730,34586,,,,
2022-04-17,3059.0,3183.5,2882.0,2951.0,69616,39212,,,,
2022-04-24,2949.5,3038.5,2765.5,2783.5,91379,31031,,,,
2022-05-01,2786.0,2967.5,2629.5,2684.5,76523,41357,,,,
2022-05-08,2586.0,2586.0,1709.0,2062.5,205163,69784,,,,
2022-05-15,2030.5,2153.5,1901.0,1964.5,94238,85190,,,,
2022-05-22,2020.0,2085.5,1710.0,1746.5,78605,23805,,,,
2022-05-29,1790.0,2017.5,1732.5,1745.5,65419,26691,,,,
2022-06-05,1799.0,1919.0,1656.0,1663.5,50147,29343,,,,
2022-06-12,1550.0,1550.0,1016.0,1076.0,38114,5537,,,,
2022-06-19,1133.0,1241.5,1039.5,1225.0,50892,25078,,,,
2022-06-26,1237.0,1237.0,995.0,1062.5,66812,33602,,,,
2022-07-03,1095.5,1272.5,1041.5,1239.0,64777,34316,,,,
2022-07-10,1220.0,1286.5,1004.5,1266.0,95554,30040,,,,
2022-07-17,1318.5,1646.5,1318.5,1529.0,139196,31840,,,,
2022-07-24,1621.5,1790.5,1358.0,1728.5,101173,33739,,,,
2022-07-31,1736.0,1736.0,1562.0,1686.0,69901,33663,,,,
2022-08-07,1717.0,1945.5,1657.0,1933.0,67160,29866,,,,
2022-08-14,1956.0,2010.0,1676.0,1699.5,66698,30149,,,,
2022-08-21,1632.0,1712.5,1513.0,1537.0,71470,32021,,,,
2022-08-28,1487.0,1636.0,1405.0,1536.0,77644,34502,,,,
2022-09-04,1650.0,1734.0,1471.5,1710.0,63338,35769,,,,
2022-09-11,1726.5,1771.5,1403.0,1427.0,115841,40379,,,,
2022-09-18,1361.0,1406.0,1217.5,1289.5,102054,40152,,,,
2022-09-25,1291.0,1399.5,1246.5,1332.0,113163,31410,,,,
2022-10-02,1275.5,1383.5,1253.5,1324.5,63419,35758,,,,
2022-10-09,1313.0,1343.0,1173.0,1295.5,56730,37459,,,,
2022-10-16,1287.5,1339.5,1251.5,1301.0,45351,34979,,,,
2022-10-23,1327.0,1595.0,1324.0,1562.0,72762,15717,,,,
