date,open,high,low,close,Volume,Open Interest,Open Interest (Open),Open Interest (High,Open Interest (Low),Open Interest (Close)
1992-04-19,338.6,343.0,336.7,337.5,0,,,,,
1992-04-26,337.5,339.4,334.9,339.3,0,,,,,
1992-05-03,338.3,338.5,335.3,336.3,0,,,,,
1992-05-10,337.3,340.8,335.1,339.1,0,,,,,
1992-05-17,339.3,341.7,336.8,338.1,0,,,,,
1992-05-24,337.7,339.4,336.1,336.4,0,,,,,
1992-05-31,338.7,342.9,338.2,340.7,0,,,,,
1992-06-07,340.8,345.8,339.5,344.7,0,,,,,
1992-06-14,344.7,346.9,341.8,342.4,0,,,,,
1992-06-21,344.0,346.6,343.5,343.9,0,,,,,
1992-06-28,343.4,349.7,342.7,347.6,0,,,,,
1992-07-05,347.7,351.2,345.8,349.0,0,,,,,
1992-07-12,349.0,360.1,349.0,358.0,0,,,,,
1992-07-19,359.3,361.2,356.8,359.5,0,,,,,
1992-07-26,358.0,362.0,355.5,361.4,0,,,,,
1992-08-02,360.5,360.6,351.4,353.9,0,,,,,
1992-08-09,354.3,354.4,335.0,337.8,0,,,,,
1992-08-16,339.2,341.3,337.6,340.0,0,,,,,
1992-08-23,344.2,345.3,340.5,342.4,0,,,,,
1992-08-30,342.8,346.7,340.3,343.8,0,,,,,
1992-09-06,344.1,346.1,341.5,342.9,0,,,,,
1992-09-13,346.4,354.5,345.9,353.0,0,,,,,
1992-09-20,350.6,352.9,348.0,351.1,0,,,,,
1992-09-27,350.9,351.3,348.3,349.6,0,,,,,
1992-10-04,350.7,353.4,350.3,351.4,0,,,,,
1992-10-11,346.9,347.8,341.6,343.2,0,,,,,
1992-10-18,343.2,345.4,342.8,344.2,0,,,,,
1992-10-25,341.7,342.4,336.9,340.1,0,,,,,
1992-11-01,339.9,340.8,333.7,336.2,0,,,,,
1992-11-08,335.7,337.5,328.9,335.4,0,,,,,
1992-11-15,335.9,337.0,333.5,335.3,0,,,,,
1992-11-22,334.2,335.0,332.8,334.0,0,,,,,
1992-11-29,335.4,337.7,334.9,336.6,0,,,,,
1992-12-06,336.3,337.2,333.9,336.0,0,,,,,
1992-12-13,336.3,340.1,335.3,337.7,0,,,,,
1992-12-20,337.1,337.2,332.0,333.4,0,,,,,
1992-12-27,334.2,334.8,332.3,333.1,0,,,,,
