date,timestamp_utc,open,high,low,close,Volume,Open Interest,Open Interest (Open),Open Interest (High,Open Interest (Low),Open Interest (Close)
2021-12-01,2021-12-01T23:00:00Z,4543.5,4543.5,4543.5,4543.5,0,0,,,,
2021-12-02,2021-12-02T23:00:00Z,4214.0,4214.0,4214.0,4214.0,143,0,,,,
2021-12-05,2021-12-05T23:00:00Z,4199.5,4290.0,3965.5,4206.5,643,595,,,,
2021-12-06,2021-12-06T23:00:00Z,4353.0,4428.0,4280.0,4298.5,219,655,,,,
2021-12-07,2021-12-07T23:00:00Z,4319.0,4456.5,4243.5,4435.0,1490,1254,,,,
2021-12-08,2021-12-08T23:00:00Z,4417.5,4505.0,4081.0,4124.0,5074,2104,,,,
2021-12-09,2021-12-09T23:00:00Z,4176.0,4236.0,3930.0,4040.0,12400,2339,,,,
2021-12-12,2021-12-12T23:00:00Z,4100.0,4161.0,3660.5,3745.0,11739,3147,,,,
2021-12-13,2021-12-13T23:00:00Z,3825.0,3877.0,3724.5,3849.5,644,2390,,,,
2021-12-14,2021-12-14T23:00:00Z,3844.5,4108.5,3680.0,4083.0,511,2536,,,,
2021-12-15,2021-12-15T23:00:00Z,4046.0,4132.0,4002.5,4042.0,981,2447,,,,
2021-12-16,2021-12-16T23:00:00Z,3983.0,3993.0,3722.0,3855.0,468,2538,,,,
2021-12-19,2021-12-19T23:00:00Z,3954.0,3980.0,3793.0,3951.0,424,2432,,,,
2021-12-20,2021-12-20T23:00:00Z,3934.0,4080.0,3930.0,4033.5,866,2616,,,,
2021-12-21,2021-12-21T23:00:00Z,4055.5,4096.0,3980.0,4022.5,461,2924,,,,
2021-12-22,2021-12-22T23:00:00Z,3968.0,4168.0,3920.0,4146.0,626,3308,,,,
2021-12-26,2021-12-26T23:00:00Z,4118.0,4145.0,4067.0,4117.5,3828,4085,,,,
2021-12-27,2021-12-27T23:00:00Z,4085.0,4085.0,3773.0,3844.0,5287,5390,,,,
2021-12-28,2021-12-28T23:00:00Z,3812.0,3842.5,3714.5,3755.5,6739,7292,,,,
2021-12-29,2021-12-29T23:00:00Z,3722.5,3771.0,3588.5,3715.0,3521,7385,,,,
2021-12-30,2021-12-30T23:00:00Z,3704.5,3819.0,3630.0,3650.0,8594,7077,,,,
2022-01-02,2022-01-02T23:00:00Z,3839.5,3864.5,3686.5,3699.0,5953,7795,,,,
2022-01-03,2022-01-03T23:00:00Z,3761.0,3902.0,3723.5,3824.5,6689,8357,,,,
2022-01-04,2022-01-04T23:00:00Z,3822.0,3839.0,3541.0,3579.5,14976,8644,,,,
2022-01-05,2022-01-05T23:00:00Z,3528.0,3553.5,3288.0,3417.0,19065,13132,,,,
2022-01-06,2022-01-06T23:00:00Z,3414.0,3414.0,3055.5,3203.5,32484,22641,,,,
2022-01-09,2022-01-09T23:00:00Z,3180.0,3180.0,2920.0,3081.5,27947,30137,,,,
2022-01-10,2022-01-10T23:00:00Z,3055.0,3263.5,3052.0,3242.0,16364,31883,,,,
2022-01-11,2022-01-11T23:00:00Z,3247.0,3413.0,3211.5,3380.5,17535,35314,,,,
2022-01-12,2022-01-12T23:00:00Z,3370.5,3417.5,3228.5,3264.0,13795,38628,,,,
2022-01-13,2022-01-13T23:00:00Z,3253.5,3346.5,3190.5,3305.0,13495,43668,,,,
2022-01-16,2022-01-16T23:00:00Z,3361.0,3368.0,3078.5,3116.5,16828,48176,,,,
2022-01-18,2022-01-18T23:00:00Z,3176.5,3177.0,3042.5,3106.0,15327,51229,,,,
2022-01-19,2022-01-19T23:00:00Z,3116.5,3272.0,3074.0,3190.5,10443,50979,,,,
2022-01-20,2022-01-20T23:00:00Z,3079.0,3079.0,2560.0,2736.0,39466,63692,,,,
2022-01-23,2022-01-23T23:00:00Z,2450.0,2550.0,2162.5,2461.5,44502,66178,,,,
2022-01-24,2022-01-24T23:00:00Z,2415.5,2508.0,2350.0,2435.5,13846,68219,,,,
2022-01-25,2022-01-25T23:00:00Z,2439.5,2718.0,2422.5,2517.5,19166,68075,,,,
2022-01-26,2022-01-26T23:00:00Z,2457.5,2515.0,2316.0,2336.5,13828,10641,,,,
2022-01-27,2022-01-27T23:00:00Z,2370.0,2547.5,2355.5,2512.0,19345,10896,,,,
2022-01-30,2022-01-30T23:00:00Z,2550.0,2705.5,2486.5,2688.5,18670,13404,,,,
2022-01-31,2022-01-31T23:00:00Z,2681.5,2813.0,2675.0,2774.5,14512,13756,,,,
2022-02-01,2022-02-01T23:00:00Z,2777.5,2813.5,2611.0,2726.0,18363,17020,,,,
2022-02-02,2022-02-02T23:00:00Z,2657.0,2721.5,2572.0,2575.5,17974,20235,,,,
2022-02-03,2022-02-03T23:00:00Z,2663.5,2986.5,2655.0,2960.5,34962,25854,,,,
2022-02-06,2022-02-06T23:00:00Z,3005.0,3192.0,2992.0,3156.0,15222,25514,,,,
2022-02-07,2022-02-07T23:00:00Z,3157.5,3238.5,3032.5,3124.0,13811,23057,,,,
2022-02-08,2022-02-08T23:00:00Z,3128.5,3281.0,3065.0,3266.5,8955,21825,,,,
2022-02-09,2022-02-09T23:00:00Z,3262.5,3287.5,3089.0,3113.5,14516,22686,,,,
2022-02-10,2022-02-10T23:00:00Z,3116.5,3143.5,2910.0,2919.0,16960,20951,,,,
2022-02-13,2022-02-13T23:00:00Z,2908.5,2970.5,2830.0,2897.0,14806,21271,,,,
2022-02-14,2022-02-14T23:00:00Z,2949.5,3147.5,2918.0,3123.0,11092,20426,,,,
2022-02-15,2022-02-15T23:00:00Z,3137.0,3204.0,3050.0,3158.5,13732,20669,,,,
2022-02-16,2022-02-16T23:00:00Z,3152.5,3159.5,2850.5,2898.5,15575,19951,,,,
2022-02-17,2022-02-17T23:00:00Z,2893.0,2943.5,2752.0,2786.0,16813,20225,,,,
2022-02-20,2022-02-20T23:00:00Z,2709.5,2757.0,2498.0,2600.5,28002,24415,,,,
2022-02-22,2022-02-22T23:00:00Z,2621.5,2752.0,2605.5,2616.5,15701,27334,,,,
2022-02-23,2022-02-23T23:00:00Z,2636.5,2721.5,2306.5,2649.0,10892,10932,,,,
2022-02-24,2022-02-24T23:00:00Z,2588.0,2750.5,2569.5,2716.0,12517,13721,,,,
2022-02-27,2022-02-27T23:00:00Z,2640.0,2849.5,2571.5,2839.0,17795,16441,,,,
2022-02-28,2022-02-28T23:00:00Z,2897.0,3039.5,2861.5,2982.5,14228,18989,,,,
2022-03-01,2022-03-01T23:00:00Z,2975.5,3052.5,2920.0,2957.5,13703,21756,,,,
2022-03-02,2022-03-02T23:00:00Z,2968.5,2975.5,2787.0,2803.5,11781,23441,,,,
2022-03-03,2022-03-03T23:00:00Z,2827.5,2850.5,2598.0,2615.5,19425,24924,,,,
2022-03-06,2022-03-06T23:00:00Z,2629.5,2647.5,2442.0,2458.0,28500,22552,,,,
2022-03-07,2022-03-07T23:00:00Z,2447.5,2624.5,2436.5,2551.5,17467,21119,,,,
2022-03-08,2022-03-08T23:00:00Z,2540.0,2775.0,2531.0,2686.5,15139,20332,,,,
2022-03-09,2022-03-09T23:00:00Z,2729.5,2736.0,2550.0,2618.5,19344,21453,,,,
2022-03-10,2022-03-10T23:00:00Z,2607.5,2675.0,2520.0,2529.5,13932,21725,,,,
2022-03-13,2022-03-13T22:00:00Z,2565.5,2603.5,2488.5,2531.0,10742,22572,,,,
2022-03-14,2022-03-14T22:00:00Z,2565.0,2565.0,2509.0,2509.0,354,1181,,,,
2022-03-15,2022-03-15T22:00:00Z,2565.0,2760.0,2509.0,2760.0,689,1459,,,,
2022-03-16,2022-03-16T22:00:00Z,2782.0,2840.0,2763.0,2838.0,585,1777,,,,
2022-03-17,2022-03-17T22:00:00Z,2820.0,2984.5,2798.5,2979.0,1017,2131,,,,
2022-03-20,2022-03-20T22:00:00Z,2883.5,2971.5,2838.5,2927.0,6198,5145,,,,
2022-03-21,2022-03-21T22:00:00Z,2932.5,3053.5,2898.5,2997.5,2282,6835,,,,
2022-03-22,2022-03-22T22:00:00Z,3028.5,3059.0,2927.5,2976.0,5146,9003,,,,
2022-03-23,2022-03-23T22:00:00Z,3010.0,3148.5,3008.0,3131.5,7084,10619,,,,
2022-03-24,2022-03-24T22:00:00Z,3117.0,3212.5,3097.5,3127.5,18732,13951,,,,
2022-03-27,2022-03-27T22:00:00Z,3164.5,3450.5,3164.5,3433.5,16671,17609,,,,
2022-03-28,2022-03-28T22:00:00Z,3401.0,3507.0,3340.5,3453.0,12848,19825,,,,
2022-03-29,2022-03-29T22:00:00Z,3389.5,3467.0,3350.0,3407.5,10212,21964,,,,
2022-03-30,2022-03-30T22:00:00Z,3403.0,3460.0,3270.0,3298.5,10589,22939,,,,
2022-03-31,2022-03-31T22:00:00Z,3295.0,3500.5,3230.0,3484.5,11556,24051,,,,
2022-04-03,2022-04-03T22:00:00Z,3500.0,3599.0,3415.5,3506.0,11217,21268,,,,
2022-04-04,2022-04-04T22:00:00Z,3531.0,3571.0,3419.5,3470.5,13823,20276,,,,
