asset,factor_beta,factor_beta_se_hac,factor_beta_ci_low,factor_beta_ci_high,common_variance_share,idiosyncratic_variance_share,factor_assets,self_included,n,sample_start,sample_end,method,full_system_pc1_share,plot_key,panel,asset_i,asset_j,quantile,joint_probability,independence_probability,conditional_probability,excess_probability,excess_ci_low,excess_ci_high,block_length,bootstrap_reps,primary_specification,peer
DOGE,0.189294804727327,0.0085258802164817,0.17258438656652,0.206005222888133,0.318662409295982,0.681337590704018,AAVE|ADA|BCH|BNB|BTC|DOT|ETH|LINK|LTC|SNX|UNI|XLM|XRP,False,2006,2021-01-02,2026-06-30,HAC OLS on PC1 estimated from all other S2 assets,0.659800491589156,factor__DOGE,common_factor,,,,,,,,,,,,,
BNB,0.243506425859904,0.0125475289775847,0.218913720968866,0.268099130750943,0.515462683751216,0.484537316248784,AAVE|ADA|BCH|BTC|DOGE|DOT|ETH|LINK|LTC|SNX|UNI|XLM|XRP,False,2006,2021-01-02,2026-06-30,HAC OLS on PC1 estimated from all other S2 assets,0.659800491589156,factor__BNB,common_factor,,,,,,,,,,,,,
XRP,0.246264526083002,0.0094997270842301,0.227645403134951,0.264883649031053,0.526523480633569,0.473476519366431,AAVE|ADA|BCH|BNB|BTC|DOGE|DOT|ETH|LINK|LTC|SNX|UNI|XLM,False,2006,2021-01-02,2026-06-30,HAC OLS on PC1 estimated from all other S2 assets,0.659800491589156,factor__XRP,common_factor,,,,,,,,,,,,,
XLM,0.253635838453452,0.0081306351664526,0.23770008635577,0.269571590551134,0.556599273710572,0.443400726289428,AAVE|ADA|BCH|BNB|BTC|DOGE|DOT|ETH|LINK|LTC|SNX|UNI|XRP,False,2006,2021-01-02,2026-06-30,HAC OLS on PC1 estimated from all other S2 assets,0.659800491589156,factor__XLM,common_factor,,,,,,,,,,,,,
SNX,0.254198776801173,0.0079219185708417,0.238672101713865,0.269725451888482,0.558939477940469,0.441060522059531,AAVE|ADA|BCH|BNB|BTC|DOGE|DOT|ETH|LINK|LTC|UNI|XLM|XRP,False,2006,2021-01-02,2026-06-30,HAC OLS on PC1 estimated from all other S2 assets,0.659800491589156,factor__SNX,common_factor,,,,,,,,,,,,,
BCH,0.258370043791863,0.00932396571324,0.240095406800826,0.276644680782899,0.576299650838039,0.423700349161961,AAVE|ADA|BNB|BTC|DOGE|DOT|ETH|LINK|LTC|SNX|UNI|XLM|XRP,False,2006,2021-01-02,2026-06-30,HAC OLS on PC1 estimated from all other S2 assets,0.659800491589156,factor__BCH,common_factor,,,,,,,,,,,,,
UNI,0.263885468071676,0.0073776000031357,0.249425637773187,0.278345298370164,0.599575051299197,0.400424948700803,AAVE|ADA|BCH|BNB|BTC|DOGE|DOT|ETH|LINK|LTC|SNX|XLM|XRP,False,2006,2021-01-02,2026-06-30,HAC OLS on PC1 estimated from all other S2 assets,0.659800491589156,factor__UNI,common_factor,,,,,,,,,,,,,
AAVE,0.268907331619671,0.007292474852155,0.254614343551283,0.283200319688058,0.621092827591649,0.378907172408351,ADA|BCH|BNB|BTC|DOGE|DOT|ETH|LINK|LTC|SNX|UNI|XLM|XRP,False,2006,2021-01-02,2026-06-30,HAC OLS on PC1 estimated from all other S2 assets,0.659800491589156,factor__AAVE,common_factor,,,,,,,,,,,,,
ADA,0.277417156501121,0.0094854188372203,0.258826077201891,0.296008235800351,0.658281665905702,0.341718334094298,AAVE|BCH|BNB|BTC|DOGE|DOT|ETH|LINK|LTC|SNX|UNI|XLM|XRP,False,2006,2021-01-02,2026-06-30,HAC OLS on PC1 estimated from all other S2 assets,0.659800491589156,factor__ADA,common_factor,,,,,,,,,,,,,
BTC,0.282198019950115,0.0101048571301043,0.262392863906188,0.302003175994042,0.679537327268468,0.320462672731532,AAVE|ADA|BCH|BNB|DOGE|DOT|ETH|LINK|LTC|SNX|UNI|XLM|XRP,False,2006,2021-01-02,2026-06-30,HAC OLS on PC1 estimated from all other S2 assets,0.659800491589156,factor__BTC,common_factor,,,,,,,,,,,,,
