asset,annualized_volatility,expected_shortfall_5pct,btc_tail_downside_beta,n,sample_start,sample_end,method
AAVE,1.0703701657754,-0.126925824127584,1.44175619631646,2006,2021-01-02,2026-06-30,matched S2 descriptive risk diagnostics
ADA,0.955981203182128,-0.108750252331122,1.10110554795896,2006,2021-01-02,2026-06-30,matched S2 descriptive risk diagnostics
BCH,0.93059265398765,-0.110603448010042,1.5245702532466,2006,2021-01-02,2026-06-30,matched S2 descriptive risk diagnostics
BNB,0.794322563212601,-0.092547279730488,1.41908731324363,2006,2021-01-02,2026-06-30,matched S2 descriptive risk diagnostics
BTC,0.577918391253721,-0.0722825492574467,,2006,2021-01-02,2026-06-30,matched S2 descriptive risk diagnostics
DOGE,1.36143215119347,-0.128854274720502,1.47571949394379,2006,2021-01-02,2026-06-30,matched S2 descriptive risk diagnostics
DOT,0.974376590882335,-0.117527301618913,1.35135387285307,2006,2021-01-02,2026-06-30,matched S2 descriptive risk diagnostics
ETH,0.780488515187392,-0.0967022926865044,1.36554439926079,2006,2021-01-02,2026-06-30,matched S2 descriptive risk diagnostics
LINK,0.995480026593588,-0.121473835890537,1.54189206908767,2006,2021-01-02,2026-06-30,matched S2 descriptive risk diagnostics
LTC,0.853900995275589,-0.1113236460897,1.42140751947329,2006,2021-01-02,2026-06-30,matched S2 descriptive risk diagnostics
SNX,1.21628761783565,-0.138720416136678,1.64877169718505,2006,2021-01-02,2026-06-30,matched S2 descriptive risk diagnostics
UNI,1.08233312864217,-0.122401317346833,1.32870902008889,2006,2021-01-02,2026-06-30,matched S2 descriptive risk diagnostics
XLM,0.955293575594255,-0.104612656952512,1.42526359423752,2006,2021-01-02,2026-06-30,matched S2 descriptive risk diagnostics
XRP,0.965940687105287,-0.108836263002009,1.59820175099715,2006,2021-01-02,2026-06-30,matched S2 descriptive risk diagnostics
