asset_i,asset_j,quantile,joint_probability,independence_probability,conditional_probability,excess_probability,excess_ci_low,excess_ci_high,block_length,bootstrap_reps,primary_specification,n,sample_start,sample_end
AAVE,ADA,0.01,0.00598205393180251,0.0001,0.598205393180251,0.00588205393180251,0.00239252229221165,0.00987008959054947,10,2000,True,2006,2021-01-02,2026-06-30
AAVE,BCH,0.01,0.00648055830970407,0.0001,0.648055830970407,0.00638055830970407,0.00289102690294385,0.0108670992776752,10,2000,True,2006,2021-01-02,2026-06-30
AAVE,BNB,0.01,0.00648055830970407,0.0001,0.648055830970407,0.00638055830970407,0.00289102690294385,0.010368593968451,10,2000,True,2006,2021-01-02,2026-06-30
AAVE,BTC,0.01,0.00598205393180251,0.0001,0.598205393180251,0.00588205393180251,0.00239252229221165,0.00987008959054947,10,2000,True,2006,2021-01-02,2026-06-30
AAVE,DOGE,0.01,0.00598205393180251,0.0001,0.598205393180251,0.00588205393180251,0.00289102690294385,0.010368593968451,10,2000,True,2006,2021-01-02,2026-06-30
AAVE,DOT,0.01,0.00648055830970407,0.0001,0.648055830970407,0.00638055830970407,0.00289102690294385,0.010368593968451,10,2000,True,2006,2021-01-02,2026-06-30
AAVE,ETH,0.01,0.00797607190907001,0.0001,0.797607190907001,0.00787607190907002,0.0038880358915776,0.0128611167892814,10,2000,True,2006,2021-01-02,2026-06-30
AAVE,LINK,0.01,0.00747756706550717,0.0001,0.747756706550717,0.00737756706550717,0.0033895312808454,0.0118641080334783,10,2000,True,2006,2021-01-02,2026-06-30
AAVE,LTC,0.01,0.00598205393180251,0.0001,0.598205393180251,0.00588205393180251,0.00239252229221165,0.00987008959054947,10,2000,True,2006,2021-01-02,2026-06-30
AAVE,SNX,0.01,0.00598205393180251,0.0001,0.598205393180251,0.00588205393180251,0.00239252229221165,0.00987008959054947,10,2000,True,2006,2021-01-02,2026-06-30
AAVE,UNI,0.01,0.00697906268760562,0.0001,0.697906268760562,0.00687906268760562,0.0033895312808454,0.0113656036555767,10,2000,True,2006,2021-01-02,2026-06-30
AAVE,XLM,0.01,0.00598205393180251,0.0001,0.598205393180251,0.00588205393180251,0.00239252229221165,0.00987008959054947,10,2000,True,2006,2021-01-02,2026-06-30
AAVE,XRP,0.01,0.00648055830970407,0.0001,0.648055830970407,0.00638055830970407,0.00289102690294385,0.0108670992776752,10,2000,True,2006,2021-01-02,2026-06-30
ADA,BCH,0.01,0.00548354955390096,0.0001,0.548354955390096,0.00538354955390096,0.00189401803072542,0.00887308083474636,10,2000,True,2006,2021-01-02,2026-06-30
ADA,BNB,0.01,0.00498504471033812,0.0001,0.498504471033812,0.00488504471033812,0.00189401803072542,0.00887308083474636,10,2000,True,2006,2021-01-02,2026-06-30
ADA,BTC,0.01,0.00448654033243656,0.0001,0.448654033243656,0.00438654033243656,0.00189401803072542,0.00737756723538041,10,2000,True,2006,2021-01-02,2026-06-30
ADA,DOGE,0.01,0.00398803595453501,0.0001,0.398803595453501,0.00388803595453501,0.00139551353640854,0.00737756723538041,10,2000,True,2006,2021-01-02,2026-06-30
ADA,DOT,0.01,0.00598205393180251,0.0001,0.598205393180251,0.00588205393180251,0.00239252229221165,0.010368593968451,10,2000,True,2006,2021-01-02,2026-06-30
