date,window,step,horizon,connectedness_pct,lag_order,n,stable,row_sum_max_error,method,error,specification,variables
2021-09-10,252,21,10,46.9074473069,1,252,True,2.22044604925e-16,Pesaran-Shin generalized FEVD,,primary,BTC|ETH|XRP|DOT|ADA
2021-10-01,252,21,10,50.6179559405,1,252,True,2.22044604925e-16,Pesaran-Shin generalized FEVD,,primary,BTC|ETH|XRP|DOT|ADA
2021-10-22,252,21,10,56.940172295,1,252,True,2.22044604925e-16,Pesaran-Shin generalized FEVD,,primary,BTC|ETH|XRP|DOT|ADA
2021-11-12,252,21,10,58.0315819294,1,252,True,2.22044604925e-16,Pesaran-Shin generalized FEVD,,primary,BTC|ETH|XRP|DOT|ADA
2021-12-03,252,21,10,59.7704129544,1,252,True,1.11022302463e-16,Pesaran-Shin generalized FEVD,,primary,BTC|ETH|XRP|DOT|ADA
2021-12-24,252,21,10,62.8881228821,1,252,True,2.22044604925e-16,Pesaran-Shin generalized FEVD,,primary,BTC|ETH|XRP|DOT|ADA
2022-01-14,252,21,10,64.1698391689,1,252,True,2.22044604925e-16,Pesaran-Shin generalized FEVD,,primary,BTC|ETH|XRP|DOT|ADA
2022-02-04,252,21,10,55.743698402,1,252,True,2.22044604925e-16,Pesaran-Shin generalized FEVD,,primary,BTC|ETH|XRP|DOT|ADA
2022-02-25,252,21,10,56.3406138786,1,252,True,1.11022302463e-16,Pesaran-Shin generalized FEVD,,primary,BTC|ETH|XRP|DOT|ADA
2022-03-18,252,21,10,53.1912982634,1,252,True,2.22044604925e-16,Pesaran-Shin generalized FEVD,,primary,BTC|ETH|XRP|DOT|ADA
2022-04-08,252,21,10,53.6016683887,1,252,True,2.22044604925e-16,Pesaran-Shin generalized FEVD,,primary,BTC|ETH|XRP|DOT|ADA
2022-04-29,252,21,10,57.3507148017,1,252,True,2.22044604925e-16,Pesaran-Shin generalized FEVD,,primary,BTC|ETH|XRP|DOT|ADA
2022-05-20,252,21,10,60.9351687877,1,252,True,2.22044604925e-16,Pesaran-Shin generalized FEVD,,primary,BTC|ETH|XRP|DOT|ADA
2022-06-10,252,21,10,59.7200350979,1,252,True,2.22044604925e-16,Pesaran-Shin generalized FEVD,,primary,BTC|ETH|XRP|DOT|ADA
2022-07-01,252,21,10,61.0200388444,1,252,True,1.11022302463e-16,Pesaran-Shin generalized FEVD,,primary,BTC|ETH|XRP|DOT|ADA
2022-07-22,252,21,10,61.7927057269,1,252,True,2.22044604925e-16,Pesaran-Shin generalized FEVD,,primary,BTC|ETH|XRP|DOT|ADA
2022-08-12,252,21,10,61.8895011961,1,252,True,2.22044604925e-16,Pesaran-Shin generalized FEVD,,primary,BTC|ETH|XRP|DOT|ADA
2022-09-02,252,21,10,63.7446571073,1,252,True,1.11022302463e-16,Pesaran-Shin generalized FEVD,,primary,BTC|ETH|XRP|DOT|ADA
2022-09-23,252,21,10,62.6371859984,1,252,True,2.22044604925e-16,Pesaran-Shin generalized FEVD,,primary,BTC|ETH|XRP|DOT|ADA
2022-10-14,252,21,10,62.0779450435,1,252,True,0,Pesaran-Shin generalized FEVD,,primary,BTC|ETH|XRP|DOT|ADA
2022-11-04,252,21,10,63.4206837192,1,252,True,2.22044604925e-16,Pesaran-Shin generalized FEVD,,primary,BTC|ETH|XRP|DOT|ADA
2022-11-25,252,21,10,65.9776393947,1,252,True,2.22044604925e-16,Pesaran-Shin generalized FEVD,,primary,BTC|ETH|XRP|DOT|ADA
