asset,btc_tail_threshold,conditional_var_5pct,unconditional_var_5pct,delta_covar_5pct,marginal_expected_shortfall,delta_mes_vs_unconditional_mean,mes_ci_low,mes_ci_high,btc_tail_observations,n,sample_start,sample_end,method
AAVE,-0.0474742746157,-0.217274382041,-0.0860087968688,-0.131265585172,-0.098317453363,-0.0982860329395,-0.112945216181,-0.0835344713862,101,2006,2021-01-02,2026-06-30,asset return distribution conditional on BTC lower-tail dates
ADA,-0.0474742746157,-0.194666957141,-0.0726582543786,-0.122008702763,-0.0895454131227,-0.089449344877,-0.100188490509,-0.0790295221105,101,2006,2021-01-02,2026-06-30,asset return distribution conditional on BTC lower-tail dates
BCH,-0.0474742746157,-0.183162567586,-0.0704929443289,-0.112669623257,-0.092264759397,-0.0919975629011,-0.106410162639,-0.0800183842541,101,2006,2021-01-02,2026-06-30,asset return distribution conditional on BTC lower-tail dates
BNB,-0.0474742746157,-0.169622846282,-0.0583065144529,-0.111316331829,-0.0765606409856,-0.0778925909501,-0.0891013908444,-0.0653182518285,101,2006,2021-01-02,2026-06-30,asset return distribution conditional on BTC lower-tail dates
DOGE,-0.0474742746157,-0.230795507736,-0.0794692447657,-0.15132626297,-0.0946820788188,-0.0959486916705,-0.108743442508,-0.079487631367,101,2006,2021-01-02,2026-06-30,asset return distribution conditional on BTC lower-tail dates
DOT,-0.0474742746157,-0.208159132534,-0.0764622515024,-0.131696881032,-0.0988421402027,-0.097690810215,-0.113871254777,-0.0853204130792,101,2006,2021-01-02,2026-06-30,asset return distribution conditional on BTC lower-tail dates
ETH,-0.0474742746157,-0.162075987799,-0.0639354807922,-0.098140507007,-0.0850988101167,-0.0854819407581,-0.0955667865179,-0.0742326619289,101,2006,2021-01-02,2026-06-30,asset return distribution conditional on BTC lower-tail dates
LINK,-0.0474742746157,-0.210721031316,-0.0803170895936,-0.130403941722,-0.0974637447593,-0.0972155324708,-0.113083921621,-0.0821551306899,101,2006,2021-01-02,2026-06-30,asset return distribution conditional on BTC lower-tail dates
LTC,-0.0474742746157,-0.202671873293,-0.0710463403434,-0.13162553295,-0.0928302187739,-0.0922807754559,-0.107474705612,-0.0795107422652,101,2006,2021-01-02,2026-06-30,asset return distribution conditional on BTC lower-tail dates
SNX,-0.0474742746157,-0.239798497717,-0.0979668134029,-0.141831684314,-0.0996476881125,-0.0978189802808,-0.113843883177,-0.0852139874751,101,2006,2021-01-02,2026-06-30,asset return distribution conditional on BTC lower-tail dates
UNI,-0.0474742746157,-0.196543560957,-0.08532025945,-0.111223301507,-0.0957979731068,-0.0955321137657,-0.110689941056,-0.0817592493843,101,2006,2021-01-02,2026-06-30,asset return distribution conditional on BTC lower-tail dates
XLM,-0.0474742746157,-0.181903207199,-0.0666198885965,-0.115283318602,-0.0835812815001,-0.0837604801899,-0.0944895557724,-0.0731539100452,101,2006,2021-01-02,2026-06-30,asset return distribution conditional on BTC lower-tail dates
XRP,-0.0474742746157,-0.206710122044,-0.0665946764655,-0.140115445579,-0.080584742127,-0.0813210696211,-0.0918411619414,-0.0697722848102,101,2006,2021-01-02,2026-06-30,asset return distribution conditional on BTC lower-tail dates
