event_id,event_date,category,asset,window_days,post_event_log_return,placebo_percentile,two_sided_placebo_pvalue,placebo_windows,sample_start,sample_end,timing,plot_key,panel
btc_spot_etf_launch,2024-01-11,primary,BTC,10,-0.108727266733,0.0801886792453,0.160377358491,212,2020-01-02,2026-04-14,"+1 through +10, event day excluded",event__btc_spot_etf_launch__BTC,event_atlas
btc_spot_etf_launch,2024-01-11,primary,ETH,10,-0.0635792878304,0.216981132075,0.433962264151,212,2020-01-02,2026-04-14,"+1 through +10, event day excluded",event__btc_spot_etf_launch__ETH,event_atlas
eth_spot_etf_launch,2024-07-23,primary,BTC,10,-0.0707100445721,0.122641509434,0.245283018868,212,2020-01-02,2026-04-14,"+1 through +10, event day excluded",event__eth_spot_etf_launch__BTC,event_atlas
eth_spot_etf_launch,2024-07-23,primary,ETH,10,-0.152821175027,0.0754716981132,0.150943396226,212,2020-01-02,2026-04-14,"+1 through +10, event day excluded",event__eth_spot_etf_launch__ETH,event_atlas
bitcoin_halving_2024,2024-04-20,primary,BTC,10,-0.0685206022575,0.132075471698,0.264150943396,212,2020-01-02,2026-04-14,"+1 through +10, event day excluded",event__bitcoin_halving_2024__BTC,event_atlas
bitcoin_halving_2024,2024-04-20,primary,ETH,10,-0.046037130497,0.264150943396,0.528301886792,212,2020-01-02,2026-04-14,"+1 through +10, event day excluded",event__bitcoin_halving_2024__ETH,event_atlas
dencun_upgrade,2024-03-13,secondary,BTC,10,-0.133003915085,0.0424528301887,0.0849056603774,212,2020-01-02,2026-04-14,"+1 through +10, event day excluded",event__dencun_upgrade__BTC,event_atlas
dencun_upgrade,2024-03-13,secondary,ETH,10,-0.184746421477,0.0424528301887,0.0849056603774,212,2020-01-02,2026-04-14,"+1 through +10, event day excluded",event__dencun_upgrade__ETH,event_atlas
luna_collapse_2022,2022-05-09,secondary,BTC,10,0.00710769184962,0.481132075472,0.962264150943,212,2020-01-02,2026-04-14,"+1 through +10, event day excluded",event__luna_collapse_2022__BTC,event_atlas
luna_collapse_2022,2022-05-09,secondary,ETH,10,-0.0992830409696,0.150943396226,0.301886792453,212,2020-01-02,2026-04-14,"+1 through +10, event day excluded",event__luna_collapse_2022__ETH,event_atlas
ftx_collapse_2022,2022-11-08,secondary,BTC,10,-0.104873324953,0.0896226415094,0.179245283019,212,2020-01-02,2026-04-14,"+1 through +10, event day excluded",event__ftx_collapse_2022__BTC,event_atlas
ftx_collapse_2022,2022-11-08,secondary,ETH,10,-0.0965637570472,0.160377358491,0.320754716981,212,2020-01-02,2026-04-14,"+1 through +10, event day excluded",event__ftx_collapse_2022__ETH,event_atlas
svb_crisis_2023,2023-03-10,secondary,BTC,10,0.319427466803,0.995283018868,0.00943396226415,212,2020-01-02,2026-04-14,"+1 through +10, event day excluded",event__svb_crisis_2023__BTC,event_atlas
svb_crisis_2023,2023-03-10,secondary,ETH,10,0.195227504465,0.929245283019,0.141509433962,212,2020-01-02,2026-04-14,"+1 through +10, event day excluded",event__svb_crisis_2023__ETH,event_atlas
yen_carry_unwind_2024,2024-08-05,secondary,BTC,10,0.0632852342732,0.721698113208,0.556603773585,212,2020-01-02,2026-04-14,"+1 through +10, event day excluded",event__yen_carry_unwind_2024__BTC,event_atlas
yen_carry_unwind_2024,2024-08-05,secondary,ETH,10,0.0602620987911,0.641509433962,0.716981132075,212,2020-01-02,2026-04-14,"+1 through +10, event day excluded",event__yen_carry_unwind_2024__ETH,event_atlas
